Sample,Actinobacteriota,Bacteria_unclassified,Bacteroidota,Deinococcota,Firmicutes,Patescibacteria,Proteobacteria
A18101,3.0717335315972507,0,-5.311928267194465,-3.925633906074574,4.767233799413824,0,1.398594842257963
A18102,4.274315020020028,-4.7615529101056,0,0,5.567692453806455,-4.7615529101056,-0.3189016536152831
A18103,3.276495361142257,-5.092197821955536,-2.8949732446193166,1.010360772658033,5.355588814404121,-3.7059034608356454,2.0506295792060847
A18105,1.534540224286955,0,-2.4827585474451803,0,2.8617224538302146,0,-1.9135041306719893
A18107,2.3108741491895906,0,-0.6899534800962401,0,3.6180782981980357,-0.15768752509238038,-5.081311442199006
A18108,3.4207090068095605,0,-6.195296453277453,0,2.9154445534759743,0,-0.14085710700808196
A18109,2.503269503642409,-5.953791444719074,0,0,1.6385746838007211,0,1.8119472572759427
A18110,-4.111969437036896,0,0,0,2.8394438112847045,0,1.272525625752193
A18112,-2.974519595430155,0,0,0,3.88805971202021,0,-0.9135401165900543
A18113,3.8235818074329346,-6.330664463450376,-0.9279870815780971,0,3.6949964730434273,0,-0.2599267354478867
A18114,1.1119274892541835,0,-2.4712757428062506,0,1.8654206443683279,0,-0.5060723908162581
A18115,1.0869727148254489,0,0,-0.6911374056022277,3.845876879115763,0,-4.241712188338983
A18117,-1.4236698732251432,-3.7750451303886208,-1.2627395064125055,0,2.522984576172643,-0.89397576515477,4.832445699008398
A18118,5.277655731927144,-5.502737025748846,-4.404124737080736,0,3.5880312110864914,0,1.0411748198159456
A18119,0.9892708914084318,0,-2.503048182259296,0,4.944542326084086,-4.484049651125879,1.0532846158926574
A18120,0.8279583895998393,-5.292339029351111,0,0,5.405249021959549,1.461098889246669,-2.4019672714549465
A18122,0.020296238413185286,-4.957968897874817,-0.45323310920849647,0,3.018817274686076,-1.0752602801154465,3.447348774099498
A18125,2.331240632512335,0,0,0,2.218017149456756,-6.605189071095985,2.055931289126896
A18127,3.7171181201990438,0,-5.161170231589417,0,4.353930544373298,0,-2.9098784329829224
A18138,-2.1653570494774,-3.0694525082577373,0,0,1.684007057807622,0,3.5508024999275145
A18139,-0.17969332290442086,-2.4704439582514635,-3.5989092100692543,0,1.8033585875253353,0,4.445687903699802
A18141,0.4314015918708032,-1.3745425123492088,-3.8312782851705123,0,3.416277020525512,-4.929890573838622,6.288032758962026
A18142,1.7389649110892753,-4.570953367137241,-0.24022002685090982,0,5.340576757042072,0,-2.2683682741431954
A18146,0.712001293570264,0,-0.5053535702489285,0,0.7842536635093111,0,-0.9909013868306502
