row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,039-02.mzML Peak area,020-02.mzML Peak area,037-02.mzML Peak area,453-02.mzML Peak area,514-02.mzML Peak area,16-02.mzML Peak area,104-02.mzML Peak area,444-02.mzML Peak area,033-02.mzML Peak area,401-02.mzML Peak area,055-02.mzML Peak area,442-02.mzML Peak area,004-02.mzML Peak area,105-02.mzML Peak area,432-02.mzML Peak area,431-02.mzML Peak area,102-02.mzML Peak area,07-02.mzML Peak area,22-02.mzML Peak area,02-02.mzML Peak area,019-02.mzML Peak area,476-02.mzML Peak area,518-02.mzML Peak area,454-02.mzML Peak area,523-02.mzML Peak area,522-02.mzML Peak area,508-02.mzML Peak area,553-02.mzML Peak area,516-02.mzML Peak area,814-02.mzML Peak area,492-02.mzML Peak area,509-02.mzML Peak area,813-02.mzML Peak area,521-02.mzML Peak area,013-03.mzML Peak area,531-02.mzML Peak area,515-02.mzML Peak area,818-02.mzML Peak area,817-02.mzML Peak area,01-03.mzML Peak area,DB1CP-02.mzML Peak area,517-02.mzML Peak area,821-02.mzML Peak area,BCN22WM-02.mzML Peak area,475-02.mzML Peak area,023-03.mzML Peak area,825-02.mzML Peak area,DB8-02.mzML Peak area,DBV7-467-02.mzML Peak area,510-02.mzML Peak area,015-03.mzML Peak area,028-03.mzML Peak area,BCN28WM-02.mzML Peak area,003-03.mzML Peak area,021-03.mzML Peak area,046-03.mzML Peak area,DBV3-542-02.mzML Peak area,017-03.mzML Peak area,822-02.mzML Peak area,011-03.mzML Peak area,044-03.mzML Peak area,035-03.mzML Peak area,041-03.mzML Peak area,427-03.mzML Peak area,08-03.mzML Peak area,031-03.mzML Peak area,05-03.mzML Peak area,30-03.mzML Peak area,029-03.mzML Peak area,14-03.mzML Peak area,06-03.mzML Peak area,309-03.mzML Peak area,435-03.mzML Peak area,425-03.mzML Peak area,501-03_20221012120828.mzML Peak area,434-03.mzML Peak area,36-03.mzML Peak area,45-03.mzML Peak area,038-03.mzML Peak area,441-03.mzML Peak area,451-03.mzML Peak area,555-03.mzML Peak area,447-03.mzML Peak area,032-03.mzML Peak area,52-03.mzML Peak area,501-03.mzML Peak area,469-03.mzML Peak area,558-03.mzML Peak area,505-03.mzML Peak area,62-03.mzML Peak area,471-03.mzML Peak area,524-03.mzML Peak area,530-03.mzML Peak area,DB5-03.mzML Peak area,549-03.mzML Peak area,811-03.mzML Peak area,47-03.mzML Peak area,533-03.mzML Peak area,544-03.mzML Peak area,812-03.mzML Peak area,528-03.mzML Peak area,DB1-03.mzML Peak area,DBV4-546-03.mzML Peak area,DBCP3-545-03.mzML Peak area,823-03.mzML Peak area,DB3-03.mzML Peak area,DB7-03.mzML Peak area,DBCP5-559-03.mzML Peak area,DB2CP-03.mzML Peak area,R26.mzML Peak area,DB6-03.mzML Peak area,R2.mzML Peak area,R27.mzML Peak area,R3.mzML Peak area,R32.mzML Peak area,R28.mzML Peak area,R4.mzML Peak area,R1.mzML Peak area,R6.mzML Peak area,R29.mzML Peak area,525-04.mzML Peak area,R33.mzML Peak area,R10.mzML Peak area,R8.mzML Peak area,R31.mzML Peak area,R7.mzML Peak area,R9.mzML Peak area,R34.mzML Peak area,WM06-02.mzML Peak area,R35.mzML Peak area,WM03-02.mzML Peak area,R5.mzML Peak area,511-03.mzML Peak area,439-04.mzML Peak area,WM02-02.mzML Peak area,WM17-03.mzML Peak area,R30.mzML Peak area,WM20-04.mzML Peak area,557-04.mzML Peak area,WM21-04.mzML Peak area,WM19-03.mzML Peak area,
708,100.07576834555341,0.46646333,,,,,,,,,,,0,4111.085,5920.7173,794.1925,40281.215,13675.306,2140.2354,9950.63,846.2904,46547.633,7857.858,3797.1687,21834.021,15093.262,2738.1907,1681.842,2623.2073,629.8054,2602.2354,2117.238,2571.7766,48640.51,67159.58,9782.135,13215.246,63243.895,70938.47,3990.4873,39810.02,9421.016,12030.705,19489.13,0,4397.0654,0,19976.498,15605.132,50083.36,19632.379,2390.0767,6424.24,51294.152,4390.374,1000.09076,55168.695,3322.947,4069.306,13395.35,1626.2576,0,0,458.0103,12817.452,9701.414,134420.95,2784.9504,15527.025,800.7102,5745.97,3182.6267,68763.38,3929.3066,1729.7306,10505.138,3844.41,4926.729,0,7631.1973,510.79834,87765.08,5168.581,59651.66,751.7705,6584.607,0,693.74915,34717.88,2807.8374,0,1747.3214,1007.26733,25269.635,14567.728,12934.596,2934.6333,0,8700.99,0,7978.339,86782.03,12525.381,964.8041,6526.5186,5641.2935,0,7632.2974,5684.0903,17149.096,6977.546,60697.83,44324.18,22323.82,1710.5227,9995.173,2080.098,4953.5293,731.0985,6214.185,9343.244,4658.533,23643.559,2894.12,4718.3237,4719.9536,24216.064,6149.293,5248.6255,1968.6489,6579.6353,7599.6304,51639.21,6270.9644,19266.848,9348.804,9768.625,19264.977,32718.816,41811.64,1066.1321,17388.826,11137.568,24306.512,34221.71,2941.7712,2311.623,12472.735,32477.334,0,2780.3755,30995.365,28258.346,
1544,101.05981818290816,1.4545814,,,,10,,,,,,,3702.4548,3566.4873,0,1700.574,1998.7238,1435.0166,4955.775,3100.6067,2993.1445,1237.7698,4350.8574,905.1356,841.472,1944.3312,2403.8945,0,4033.76,1002.61694,2635.6094,2442.2473,2989.859,2724.835,2142.965,850.6448,2702.5461,0,0,3174.0247,930.6342,0,1025.7563,1134.952,0,984.78796,3428.476,1616.5022,3341.286,0,1774.3866,5068.5537,1032.4658,0,4068.3674,5376.7173,3139.209,3669.917,2223.5325,3444.7498,0,1236.5596,4168.053,4041.6226,2414.8352,1263.5107,0,5163.8447,846.84644,1825.1648,0,3743.5195,4028.9575,3441.6565,961.3993,1193.5159,1537.9504,2516.3865,2323.314,2497.6848,3818.851,2824.588,918.90454,1985.4264,0,1577.7084,1835.7915,2089.42,3936.1692,674.3452,2265.8628,2055.4714,1213.7146,0,0,825.74475,1189.1938,0,1793.8435,914.42395,2330.8926,3841.127,336.80365,988.9829,4125.1875,3639.4922,0,1298.8169,3979.856,1028.8123,2757.3147,897.1051,1834.9838,957.7575,0,2611.1958,2922.2827,5218.049,2593.64,1626.5482,0,835.42914,2758.745,1866.2325,954.11975,3683.4614,2296.2822,1022.9358,1648.625,1639.637,2740.6602,1195.627,3156.4126,0,0,3449.078,2334.4238,3136.1094,1954.1672,881.1953,2948.2378,1314.7507,2117.7769,3191.766,0,4597.096,2633.8052,2089.2852,2025.1985,3862.0737,2217.1719,3925.2173,1291.0042,
3874,102.03396102704855,5.116219,,,,,,,,,,,1050.7952,2363.2927,4997.743,573.203,628.3218,3350.0706,4783.9854,1966.3787,8223.213,2044.9785,1911.009,4803.469,2854.9639,2700.4866,591.9618,774.38007,2975.9004,1775.8638,867.3928,422.89172,825.82404,1489.6528,1348.6196,1892.5049,1406.291,789.1054,337.03754,817.0087,526.8563,537.49884,1090.7759,527.10913,404.93207,587.20905,2107.5383,887.1689,5125.053,1253.9484,769.20245,3480.5703,5646.1787,431.65338,637.4501,2287.166,1607.8774,3877.0608,780.1421,1865.6477,335.79626,1882.4744,2763.8914,2119.9412,562.83405,649.94556,2263.6335,952.86487,559.50366,481.45428,559.2744,2292.486,1106.4664,735.86615,3371.6055,3357.852,2000.6637,569.0094,677.7554,1984.1062,1898.7725,5769.3066,4014.486,1522.6946,464.33142,1617.0472,7776.6113,772.5528,3102.285,3441.7703,2176.982,1340.2246,593.3225,1003.93414,289.35724,938.4158,2054.6128,566.21423,3150.0635,637.7378,1454.8054,1829.4738,537.58826,1423.5618,1292.8561,1334.1078,282.2973,4793.5625,540.3844,1580.8057,1247.4111,314.67636,1313.2456,3201.2449,211.08229,477.05914,943.3888,774.9082,2032.644,545.9847,4575.6934,2912.2373,926.8379,2899.0422,1589.4312,5109.6777,4506.5234,3492.611,3436.1243,2333.9429,1203.2614,891.50195,657.22644,850.61597,1288.9924,5572.415,4325.2603,2148.7358,4928.1177,4160.34,952.1677,1499.7863,2401.5146,1883.4259,5549.784,2668.1074,1314.9958,502.70908,965.60736,2197.8904,1574.3788,1815.1489,4006.0493,
8278,102.03397627708057,6.2728553,,,,,,,,,,,2430.1357,1894.113,1305.55,3264.1492,1125.5186,1876.1855,1655.87,1587.0222,2072.729,1574.1968,1534.7291,3395.5142,2259.9585,1389.22,2316.3145,2755.267,1623.7261,1690.0347,1410.9697,1586.5758,2365.8252,1194.7322,1787.4165,952.1007,2988.2302,640.69763,1840.138,2025.0454,1494.456,661.7229,1541.2427,843.5332,893.69366,1685.2903,2159.6702,2402.8723,2553.2402,598.48157,632.8744,1802.0793,5373.0454,1197.1746,2458.418,1147.6538,1444.2344,2957.4688,1445.2893,981.2726,752.6659,1870.282,5780.949,1568.0957,2292.1167,3807.6829,2188.8528,3406.0984,1438.4314,1569.2517,1913.6527,1854.2046,1395.815,1764.2998,1603.1038,1467.8027,1265.3041,953.23676,1308.5798,1811.9783,1455.5278,1068.3733,4775.568,1573.9574,0,835.9901,1340.1978,2699.5679,1255.8545,5001.2944,2172.3972,1697.1809,3015.4373,582.5513,727.752,1013.3859,2208.7744,2334.5977,1383.9879,1441.8499,1601.8777,2197.7483,875.2097,1401.7368,1253.2904,2093.2334,1858.604,1319.2778,1403.407,1493.1948,1191.6615,1515.686,811.8713,1112.8033,1575.0925,1110.1321,1024.3245,2097.213,1783.229,2183.5105,2503.7773,1327.8008,1791.9742,2808.1345,4411.6406,4833.418,5466.8267,1365.0588,3700.4038,1598.7625,4128.5347,2623.5737,2901.3633,3289.6787,3358.1946,2454.4734,1143.6045,1625.685,4025.908,1536.8022,829.4353,5858.3193,1644.3291,1639.9967,1624.1956,6844.773,1143.6748,1730.3716,1191.1814,3486.503,1482.1082,1380.2723,782.9444,
4381,102.03399569940262,5.4615817,,,,,,,,,,,638.68066,1529.4327,921.2822,658.14465,2455.9756,1345.1714,1838.8477,1130.6937,4241.9316,1402.7852,1158.0491,1719.1256,1730.3049,741.1737,556.5234,375.89526,1211.4131,537.45135,814.30743,583.1515,2208.2263,2357.571,0,1806.3328,740.4269,0,623.9036,0,818.4114,615.9856,609.8844,1151.6855,647.9027,562.59607,2530.9465,932.7001,2558.734,321.1838,568.58704,2524.4985,1619.5413,906.1831,1456.3625,1936.3562,2456.5923,883.53864,770.8424,887.78125,0,834.8876,900.35724,1281.2667,1350.7268,1565.8594,0,3104.3506,691.33844,1464.75,525.22107,2054.707,1376.17,1683.8055,3406.7637,1600.2068,968.9398,464.26312,549.7135,2250.7637,786.3827,1828.4127,2261.6904,1381.6125,0,1238.5288,2217.9658,1657.6582,746.3286,1626.706,2658.9038,433.60645,1108.1272,0,381.85168,1906.6731,1839.9076,0,709.1196,624.75854,1028.1139,2060.3599,1165.7163,963.569,3757.8652,1510.3359,1005.55786,2273.4614,1121.9089,1196.533,723.6661,0,647.4234,1491.6405,0,1018.0861,779.5492,1189.15,1847.2622,508.6532,4192.372,1499.7197,2454.5933,2552.306,1321.4246,3762.4436,965.67615,2048.1628,2357.446,1233.8425,2500.1663,1282.5753,1052.494,3151.9968,2768.271,1496.2656,3245.1035,2188.2664,1885.4185,962.68555,1001.4438,1789.5127,3075.2124,2550.7703,2373.3416,1077.958,2067.3125,443.32678,1141.1395,2681.5679,1204.2007,2013.1694,556.34033,
298,104.10707883307849,0.37380382,,,,,,,,,,,98680.0,401078.75,255408.47,199432.62,266574.53,4669.7676,71049.13,23479.455,74736.02,107625.61,33912.754,15125.497,102889.14,32726.695,109932.016,20008.344,82742.64,240637.19,161404.25,214843.25,123179.1,212889.2,147568.8,190081.14,23578.332,3592.9905,86059.51,671258.5,101931.09,4243.988,36515.094,9032.878,270650.16,287223.03,19921.945,215669.27,17880.537,2532.3296,230267.95,105357.88,155450.8,132814.6,60992.83,35307.367,709253.4,11429.155,13401.039,47814.043,175176.77,50400.17,60251.54,27324.043,191320.25,54068.266,10020.778,51587.895,546438.8,79174.0,404258.0,271440.7,57726.55,49902.855,324754.34,190173.17,185873.78,14406.927,2663.002,356737.06,203343.48,86913.41,75955.23,430419.72,5570.628,147203.8,78366.04,43105.348,218767.39,138080.83,175299.23,384522.72,9412.149,10660.216,52161.992,547555.2,29601.412,13676.065,12159.42,341080.5,11092.877,82145.51,167787.19,193468.97,30361.885,89506.74,12193.049,112634.27,101576.45,6696.934,13951.531,332390.28,6669.0137,68951.57,30207.031,123688.17,66374.664,11347.173,143281.11,124800.234,8201.808,245201.88,233991.12,249152.92,472801.88,89036.64,227394.38,419988.7,187909.03,144240.0,100579.51,249204.06,199609.53,280724.66,281862.75,51297.098,316517.22,89094.26,185256.25,20475.37,211194.94,145454.14,50908.324,106300.164,972316.56,122371.52,491987.03,18989.543,243519.77,51137.9,76141.11,24679.814,179836.27,
1038,104.10709122881276,0.54160935,,,,,,,,,,,709.4342,7867.115,2078.8818,6074.9243,5428.264,18597.607,9542.301,11749.986,1545.1287,4138.343,1515.0441,19390.324,2808.1777,0,4520.15,820.3291,15221.815,6816.2656,3231.2092,15491.939,8136.8867,27353.838,4328.524,15031.508,26377.65,5277.0654,6977.673,73847.81,16720.744,1967.9567,19146.238,3984.9434,2084.4678,5420.462,794.292,11228.785,3684.2358,283.0405,13821.476,4106.1216,3760.8562,2485.3728,6353.1494,0,38680.23,779.5011,12454.132,5139.3423,3903.3,5317.192,444.69232,396.08777,3381.376,970.3196,2423.3916,684.88245,50223.49,5148.459,57993.11,10647.376,2668.3115,743.7244,10304.651,12592.184,6130.091,13012.445,2917.2998,12744.221,27216.54,8382.128,10728.894,6686.533,4426.4097,5103.662,8233.485,29405.389,5140.0425,1963.7719,4805.203,36792.062,3349.1646,779.587,3612.54,37741.46,2490.8987,0,10123.353,6323.779,8522.99,7571.909,14240.024,11285.212,11619.564,611.07007,537.9567,18906.51,17127.424,29305.854,11819.767,10029.922,15987.339,1982.8436,0,2712.5806,2995.8728,2946.0571,11937.836,4781.495,7505.7314,24147.94,8517.38,4610.724,7245.927,14173.928,9659.15,17044.67,1613.5663,20016.182,5049.276,15311.384,15682.278,14339.244,10458.987,1021.2796,22841.867,3289.5552,8685.117,15754.964,10610.877,34960.25,3509.0198,4284.3364,176355.98,8278.872,13268.608,0,12003.295,6243.256,21341.23,1506.6213,8610.744,
1372,105.03359408656662,1.3664353,,,,56,,,,,,,0,4569.6816,3666.2126,8042.6333,2511.643,3941.0286,4993.074,0,2463.7876,1035.0773,0,1498.1155,0,0,0,1005.3446,735.09955,0,2862.235,0,1928.9272,299.42123,0,7418.459,3236.7014,2462.5742,1428.1384,0,0,2086.2483,4311.114,1824.2223,0,6980.573,987.0536,6761.153,0,7318.0176,4317.206,0,317.30106,0,0,3661.1404,13811.237,0,0,0,1507.3071,3055.6775,7086.7695,181.30978,5846.589,0,0,1206.9968,2739.7769,0,8867.641,1448.5756,0,1403.3223,4914.393,0,3162.423,8258.059,557.25195,5714.1865,9597.739,0,234.43405,3019.889,3051.3955,645.23596,672.00903,3454.3765,11074.511,0,0,3078.4197,11696.024,7096.209,4468.272,0,1473.8567,1679.3439,2543.9624,3430.1716,3376.7236,4146.3164,0,527.56036,0,6349.1187,0,2003.7726,0,2107.8794,4050.8555,0,2838.9067,1293.7944,10951.992,0,1467.302,451.98492,1659.5375,0,3283.3247,1549.447,0,2644.4902,5172.485,2423.2507,1964.5123,1250.0193,553.7678,2589.3381,0,0,2566.2188,1549.827,0,0,0,0,0,0,4260.7925,0,0,0,7560.296,0,11730.978,684.7418,0,3053.3628,0,0,7284.9316,
998,105.07006742836079,0.63422084,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14507,107.06049186505109,7.815936,,,,,,,,,,,44285.72,77314.69,42412.21,46577.887,77911.44,67004.7,40619.72,20612.05,19094.986,20067.832,26463.656,14810.491,16087.356,48211.938,61078.586,33507.242,20252.879,20030.586,40696.016,44136.367,51106.008,101838.13,81603.0,30420.775,42941.312,34034.914,23684.543,19897.773,113318.19,14549.998,66404.1,39778.027,43460.473,71015.375,21438.732,85696.98,34051.453,21586.225,18204.352,22298.242,41533.688,17705.79,64619.656,29812.883,41617.77,23674.912,111594.78,29571.93,33950.438,44151.42,42980.07,40886.95,50841.586,52788.395,52913.164,48801.953,100923.45,52071.25,76821.19,44719.746,24674.598,31484.094,134223.0,48877.496,25980.588,26586.543,27439.21,35721.812,52546.61,53716.54,22447.91,57764.734,34889.53,29913.605,67862.59,60725.945,29044.09,25677.564,40237.535,36923.22,27362.945,45296.1,29907.953,89727.055,35457.824,22579.383,48676.188,62614.633,106268.53,30325.605,27759.498,38434.66,25998.506,47103.676,16557.713,11890.516,44410.934,87960.0,29600.361,8523.516,44978.14,14788.709,67251.45,75503.5,24565.68,31089.207,56438.727,28908.447,85823.67,17221.016,26613.842,24843.82,53413.254,44384.27,27104.992,37920.152,24830.71,41587.38,41589.22,24871.572,42328.375,54316.305,27533.746,17578.816,20725.5,54761.62,58623.953,56794.887,15332.875,42395.74,88036.74,25554.076,18466.168,59030.816,46004.477,44881.65,27577.512,34199.633,40039.344,44199.434,31056.164,
