"Sample","Secretor","Diversity","Evenness","X2_FL","X3_FL","LNnT","X3_SL","DFLac","X6_SL","LNT","LNFP_I","LNFP_II","LNFP_III","LSTb","LSTc","DFLNT","LNH","DSLNT","FLNH","DFLNH","FDSLNH","DSLNH","SUM","Sia","Fuc"
"1",1,3.59,0.19,1237.9,6362.2,31.9,562.2,340.9,444.9,536.8,104.8,1558.6,19.3,36.4,51.8,1003.8,27.8,97.1,80.9,12,332.6,79.3,12921.3,2113.2,12409.7
"2",1,8.63,0.45,3837.7,1396.1,184.7,463.3,500.9,1388.4,1652.4,1850.8,898.4,73,91.7,398.7,1338.3,54.4,750,333.5,250.3,143.6,167.1,15773.1,4463.5,12712
"3",1,8.5,0.45,3613.5,2317.1,425.5,351.7,345.1,1047.7,2768.4,1135.2,1134,167.1,105.4,305.2,1382.6,181.2,495.1,468.4,133.4,181.5,141.1,16699.2,3445.5,12738.9
"4",1,7.82,0.41,3815.7,701.3,238.3,196.3,523.1,1244.5,2015.4,2810.3,631.5,77.2,136,454.3,1272.2,55.9,578.8,373.3,428.3,71.5,160.4,15784.1,3652.4,12928
"5",1,8.97,0.47,2910.1,1231.3,294.1,374.9,373.9,1561.5,1901.3,2378.9,895.1,56.4,97.3,523.1,1568.7,40.3,364.4,205.1,184,75.5,199.1,15235.1,3834.8,12005.7
"6",1,7.8,0.41,4469.8,1716,122.7,235.4,536.9,1369.8,1720.4,2265.1,795.7,100.7,43.8,292.5,1135.5,99.4,444,523,430.1,186.5,282.4,16769.8,3767.3,14261.8
"7",1,6.69,0.35,5271.6,1717.6,596.8,288.7,463.4,1017,1913.8,1184.7,1273.9,72.6,111.8,183.6,1498.8,146.4,322.4,284.8,121.4,159.1,73,16701.2,2710,14131.5
"8",1,9.98,0.53,2278.4,1845.1,185.7,246.4,535.8,1031.8,2323.8,1876.6,816,52.5,113.2,261.3,1522.1,139.7,761.2,524,245.9,177.5,233.5,15170.4,3997,12177.8
"11",1,6.96,0.37,3503.6,511.7,381,144.3,235.2,892.9,2132.6,3439.4,623.2,70.4,105.7,499.2,1226,49,624.5,199.6,219.7,49.2,150.9,15057.9,3291.1,11758.6
"13",1,7.82,0.41,3577,1116.2,244,389.6,353.5,914.5,2660.4,2541.3,749.4,59.7,156.3,218.6,1546.3,49.3,720.6,278.9,180.4,69.6,92.1,15917.9,3443.5,12552.8
"14",1,7.03,0.37,3020.4,1000.8,134.1,98.6,466.7,1292,3653.8,3117.7,818.6,75.3,85.3,235,58.4,22.4,844.4,397.6,305.1,163.3,320.9,16110.3,4368,10254.1
"15",0,5.57,0.29,30.8,3142.2,111.3,207.9,6.2,931.9,1104.4,96.9,1762.5,36.9,50.1,90.6,160.9,81.2,253.2,260.3,20.6,915.8,239.8,9503.7,4098.1,6621
"16",1,7.57,0.4,4325.7,1025.9,467.9,367.7,396.1,1999.6,828.7,2194.6,889.5,71.5,124.9,530.9,1471.1,108.8,433.9,148.2,228.7,106.3,168.6,15888.7,4440.9,12953.6
"17",1,7.38,0.39,4733.6,1368.4,263.9,324.5,353.6,1323.8,2061.1,1835.4,763.5,48.8,71.9,319.1,1514.7,74.4,339.2,485.7,338.8,175.7,239.4,16635.5,3547.8,13825.4
"19",1,9.45,0.5,2514.2,1345.2,341.9,1006.8,1327.2,517.2,915.6,2203.5,632.4,97.1,140.1,680.2,2674.4,52.8,867.5,83.5,49.2,24.5,146.6,15619.8,4421.4,15002.1
"20",0,6.01,0.32,81.9,1908.6,353.4,207.9,44.1,562,2929.7,133.8,1823.9,76.5,80,149.8,134.5,130.7,443.9,501.4,30.4,354.9,73.6,10021,2744.6,5298.9
"21",1,8.91,0.47,1973.5,2476.3,214,746,684.3,1928.8,2966.7,2607.1,1124.7,84.5,88.5,275.9,1477.6,65.7,337.6,195.4,90.7,41.1,59.2,17437.7,3915.1,13007.9
"22",1,9.67,0.51,1559,1220.4,203.2,522.6,354.6,1091.1,2532.9,2374.6,1052.9,57.6,84.3,826.8,1636.7,35.9,844,165.2,78.9,42.6,184.5,14867.7,4666.8,10612.7
"23",1,4.77,0.25,6806.4,754.6,311,433.5,499.4,669.5,1435.4,2941.4,460.7,79.3,68.7,218.5,1039,64.5,420.5,269.7,296.1,58.3,128.2,16954.6,2604.1,15039.1
"27",0,3.56,0.19,34.1,5405,157.9,339.8,57.5,531.8,2931.4,189.7,1951.4,28.6,73.3,62.7,226.9,20.5,175.2,22.6,3.1,33.1,12.5,12257.2,1449.2,8239.5
"28",1,9.07,0.48,2984.1,958.6,401.8,283.7,298.5,1412.8,1943.6,2475,647.3,123.3,48.5,377.4,1340.6,164.3,325.3,529.8,370.1,131.5,263.8,15080,3563.6,11868
"29",0,5.41,0.29,60,3264.4,189,263.3,14.9,592.3,2402.4,158.4,1864.9,59.1,99.9,69.3,228.1,100.5,462.8,336.3,17.8,353.4,101.9,10638.8,2861.1,6618.1
"30",1,8.49,0.45,2981.8,1474.7,274,319.7,345.3,894.8,2612.6,1868.1,1304.8,43.8,110.6,248.6,2324.5,70.9,532.3,248.7,109.2,117.2,90.3,15971.9,3053.4,13596.9
"31",0,5.39,0.28,24.5,1084.3,150.3,185.9,19.4,1998.5,3581,162,527.5,28.5,147.5,365.2,33.8,4.4,869.1,642.4,118.2,77.1,312.4,10331.8,5214.3,2889
"32",1,8.57,0.45,3411.2,897.9,195.7,289,324.6,1159.8,1876.2,2432.5,1083.7,103.6,104.9,699.7,1708.3,49.7,677.2,182.1,162.1,94.5,210.7,15663.4,4218.3,12595.6
"33",1,8.73,0.46,3653.1,1361.2,301.3,605.1,484.4,1208.6,1815.5,1886.9,924.2,82.1,102.4,645.8,2221.7,78.2,579.6,211,103.4,43.1,100.7,16408.4,4008.7,13780.6
"35",1,6.62,0.35,5397.9,1756.6,251.5,555.6,321.2,958.1,1559.3,1477.2,873.5,75,37.6,268,1771.2,117.1,482.8,431.6,200.5,141.2,136.5,16812.3,3340.4,14738.8
"36",1,7.71,0.41,3470.5,1435.7,296.5,350.4,290,865.8,2875.2,1976.2,1101.7,47.3,112.1,297.1,1784.2,75.5,289.7,216,85.5,58.1,68.6,15696.2,2458.2,12625.2
