"Metabolite","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif","p.adj.BH","LibraryID","Precursor_Mass","Network_Number","NPC.superclass","NPC.class","NPC.pathway","ClassyFire.superclass","ClassyFire.class","ClassyFire.subclass","ClassyFire.level.5"
"10","Amigos","High","Low",0,0.102367804558935,-0.510660594857844,0.715396203975714,0.917,"ns",1,NA,"746.212",NA,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10","Amigos","High","Medium",0,0.0871802868356597,-0.568537816739441,0.74289839041076,0.947,"ns",1,NA,"746.212",NA,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10","Amigos","Low","Medium",0,-0.0151875177232754,-0.397053830441986,0.366678794995435,0.995,"ns",1,NA,"746.212",NA,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"1001","Amigos","High","Low",0,-0.188515741727253,-1.03777289196584,0.660741408511331,0.858,"ns",1,NA,"271.0418",NA,"Pseudoalkaloids","Purine alkaloids","Alkaloids","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-thiopurines"
"1001","Amigos","High","Medium",0,-0.476855660724612,-1.38525287124836,0.431541549799134,0.428,"ns",1,NA,"271.0418",NA,"Pseudoalkaloids","Purine alkaloids","Alkaloids","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-thiopurines"
"1001","Amigos","Low","Medium",0,-0.288339918997359,-0.81735732964284,0.240677491648122,0.401,"ns",1,NA,"271.0418",NA,"Pseudoalkaloids","Purine alkaloids","Alkaloids","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-thiopurines"
"10017","Amigos","High","Low",0,-0.126570842563666,-1.38199022090505,1.12884853577772,0.969,"ns",1,NA,"779.946",NA,"Nucleosides","Purine nucleos(t)ides","Carbohydrates","Organoheterocyclic compounds","Azoles","Imidazoles","Substituted imidazoles"
"10017","Amigos","High","Medium",0,-0.21060371126023,-1.55344723162669,1.13223980910623,0.926,"ns",1,NA,"779.946",NA,"Nucleosides","Purine nucleos(t)ides","Carbohydrates","Organoheterocyclic compounds","Azoles","Imidazoles","Substituted imidazoles"
"10017","Amigos","Low","Medium",0,-0.0840328686965641,-0.86605596808141,0.697990230688282,0.965,"ns",1,NA,"779.946",NA,"Nucleosides","Purine nucleos(t)ides","Carbohydrates","Organoheterocyclic compounds","Azoles","Imidazoles","Substituted imidazoles"
"1002","Amigos","High","Low",0,0.511223408280684,-0.16959227436759,1.19203909092896,0.18,"ns",1,NA,"381.0798",NA,NA,NA,NA,NA,NA,NA,NA
"1002","Amigos","High","Medium",0,0.681985904807815,-0.0462400121889026,1.41021182180453,0.0714,"ns",1,NA,"381.0798",NA,NA,NA,NA,NA,NA,NA,NA
"1002","Amigos","Low","Medium",0,0.17076249652713,-0.253329722726182,0.594854715780443,0.606,"ns",1,NA,"381.0798",NA,NA,NA,NA,NA,NA,NA,NA
"10045","Amigos","High","Low",0,-0.375075432746315,-1.79139559043248,1.04124472493985,0.804,"ns",1,NA,"779.4444","175","Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10045","Amigos","High","Medium",0,-0.273273585873263,-1.78822259759395,1.24167542584742,0.904,"ns",1,NA,"779.4444","175","Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10045","Amigos","Low","Medium",0,0.101801846873052,-0.780449214838521,0.984052908584625,0.959,"ns",1,NA,"779.4444","175","Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
