SampleID,Staphylococcus,Streptococcus,Ralstonia,Gemella,Lacticaseibacillus,Bacillus,Enterococcus,Acinetobacter,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Enhydrobacter,Sediminibacterium,Corynebacterium,Enterobacter,Pseudomonas,Cutibacterium,Escherichia-Shigella,Bifidobacterium,Phyllobacterium,Stenotrophomonas,Veillonella,Serratia,Caulobacteraceae,Yersiniaceae,Sphingobium,Rothia,Empedobacter,Neisseria,Aeromonas,Lactobacillus,Klebsiella,Sphingomonas,Pediococcus,Blastomonas,Erwiniaceae,Brevundimonas,Delftia,Haemophilus,Bradyrhizobium,Variovorax,Prevotella,Achromobacter,Granulicatella,Atopobium,Chryseobacterium,Methylobacterium-Methylorubrum,Pantoea,Blautia,Yersinia,Romboutsia,Nubsella,Enterobacteriaceae,Microscillaceae,Faecalibacterium,Dolosigranulum,Actinomyces,[Ruminococcus] gnavus group,Fimbriimonadaceae,Kocuria,Finegoldia,Shewanella,Burkholderia-Caballeronia-Paraburkholderia,Paracoccus,Cellulosimicrobium,Prevotella_7,Knoellia,Erysipelotrichaceae UCG-003,Acidibacter,Pelomonas,Rubrobacter,Fusobacterium,Micrococcus,Anaerococcus,Collinsella,Anaerostipes,Rudaea,Abiotrophia,Sphingobacterium,Limosilactobacillus,Psychrobacter,Bacteroides,Paenibacillus,Rheinheimera,Actinobacillus,Subdoligranulum,TM7x,Porphyromonas,Alkanindiges,Akkermansia,Brucella,Bdellovibrio,[Ruminococcus] torques group,Lautropia,Fusicatenibacter,[Clostridium] innocuum group,Comamonas,Agathobacter,Rhizobiaceae,Peptoniphilus,Obscuribacteraceae,Lactococcus,Geobacillus,Novosphingobium,Hydrogenophaga,Roseomonas,Leptotrichia,Luteibacter,Haematobacter,Flavonifractor,Aquabacterium,Erysipelatoclostridium,Bergeyella,Sphingomonadaceae,Latilactobacillus,Carnobacterium,Ruminococcus,Massilia,Brochothrix,Oscillospiraceae,Aerococcus,Aureimonas,Nevskia,Eggerthella,Afipia,Lachnospiraceae NK4A136 group,Lelliottia,Lawsonella,Alloprevotella,[Eubacterium] ventriosum group,Falsirhodobacter,Oribacterium,Lachnospiraceae ND3007 group,Devosia,Lachnoanaerobaculum,Methylophilus,Porphyrobacter,Neisseriaceae,Lachnoclostridium,Dorea,Rhodococcus,Mucilaginibacter,Clostridium sensu stricto 1,Xanthomonas,[Eubacterium] eligens group,Lactiplantibacillus,Pajaroellobacter,[Eubacterium] hallii group,Labrys,Solimonadaceae,Acidovorax,[Ruminococcus] gauvreauii group,Ruminococcaceae,Sphingopyxis,Parabacteroides,Peptostreptococcus,Moraxella,Phascolarctobacterium,HT002,Fenollaria,Citrobacter,Coprococcus,Exiguobacterium,Methylotenera,Brachybacterium,[Eubacterium] siraeum group,Methylocella,Monoglobus,Ochrobactrum,Bacteroidetes BD2-2,Streptobacillus,Cnuella,Intestinibacter,Flavobacterium,Edaphobacter,Amaricoccus,Campylobacter,Capnocytophaga,Mycobacterium,Peredibacter,Butyricicoccus,Solobacterium,Parasutterella,Diaphorobacter,Proteus,Dialister,Lachnospiraceae,Candidatus Obscuribacter,Selenomonas,Alistipes,Brevibacterium,Cloacibacterium,[Eubacterium] coprostanoligenes group,Deinococcus,Fimbriiglobus,Leuconostoc,Roseburia,Filifactor,Anaerobacillus,Pseudoxanthomonas,[Eubacterium] fissicatena group,Sva0081 sediment group,Desulfosarcinaceae,Turicibacter,UCG-002,Prevotella_9,Saccharimonadaceae,Desulfatiglans,Muribaculaceae,Rubellimicrobium,Lachnospiraceae UCG-004,SEEP-SRB1,Luteimonas,Aggregatibacter,Ligilactobacillus,Bosea,Johnsonella,Intestinimonas,Holdemanella,Tepidimonas,Megasphaera,Blastococcus,Adlercreutzia,Incertae Sedis,Dermabacter,Hungatella,Pseudonocardia,P5D1-392,Atopostipes,Treponema,Dysgonomonas,Bacillaceae,Christensenellaceae R-7 group,Desulfovibrio,Microbacterium,Legionella,Pseudoclavibacter,Pedobacter,UCG-005,Catenibacterium,JG30-KF-CM45,Nocardioides,Peptococcus,Candidatus Soleaferrea,Weissella,Jeotgalicoccus,Marmoricola,Senegalimassilia,Hymenobacter,Staphylococcaceae,WD2101 soil group
001M03BM,0.6831610990958397,3.4146193910960645,4.777944161653842,-1.4503476638542718,1.0886262072040043,-0.8143588971342752,0,6.569776695580719,-1.0826228837289547,1.7861497623637486,1.7042858922855753,-0.009986081464105734,6.016642378101542,4.461652711899463,-0.8143588971342752,-1.4503476638542718,1.3563740647549678,1.965555865197579,3.5698711905060416,-0.8749835189507102,2.739307078172154,0.6831610990958397,1.8034662123752088,0,-0.28027641120401725,0,0,0,0,0.9968186579508811,1.517213732733023,0,0,6.424433707995899,0.5865342634067683,0,-1.162665591402491,-0.6518399676365005,0.15909024857982823,0,-0.3153677310152876,0,-2.261277880070601,0.04130721292344486,0,4.748808330008998,0,0,0,-0.5565297878321753,5.080205972292559,1.0798155775218494,0,0,0,-1.0826228837289547,-2.261277880070601,-1.7016620921351782,0,0,0,2.2846729462575195,0,0,-1.008514911575233,0,-2.954425060630546,-2.261277880070601,-1.8558127719624364,0,0.13661739272776963,0,-2.261277880070601,0,0,0,-0.35173537518616227,-0.46951841084254564,0,-1.7016620921351782,0,-1.5681306995106556,0,0,0,0,-1.8558127719624364,-2.0381343287563913,0,0,0,0,0,0,0,0,-0.9395220400882813,0,-1.8558127719624364,2.496613392935154,0,-1.3449871481964455,0,0,0,-1.8558127719624364,0,0,0,0,0,0,0,0,0,1.0063881089670317,0,0,0,0,-2.0381343287563913,0,0,-1.8558127719624364,0,0,0,0,0,0,0,0,0,0,0,-2.954425060630546,0,0,0,0,-2.548959952522382,0,0,0,0,0,-2.261277880070601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0381343287563913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5681306995106556,0,0,-2.548959952522382,0,0,0,0,0,0,0,0,-2.0381343287563913,0,0,0,0,0,0,0,0,-1.8558127719624364,0,0,0,0,0,0,-2.954425060630546,0,0,-2.261277880070601,-1.162665591402491,0,0,0,0,0,0,0,0,0
002M02BM,5.511420055645483,4.075343576125147,5.603863574899038,-0.6489613885078134,1.8286725019511074,-2.1750176920028625,2.0503551326256417,0.5593498174167211,0,0,3.00000145820068,2.7258027360861865,0.18583630911515892,3.359161998267158,-0.22910754294754954,2.9453684660525123,6.387722314369346,3.490023954336908,1.2328242323779612,2.856726565303628,0.8106642456976267,2.706267930065544,0.2408960862981866,-0.4171597744504889,0,-1.076405403334753,0,0,0,-1.4818705114429171,2.315863347583101,0,0,0,-1.7050140627571273,0,-1.2195062469754263,1.2844485977832685,1.6708655109207387,0,0.49221051457909226,-1.4818705114429171,-1.2995489546489627,-0.8940838465407985,0,0,0.3264182597363483,-1.5872310271007435,-0.5655797795687625,-0.693413151078647,0,1.644890024517478,0,0,-0.12089395830731675,0.8502733837926728,0.04418579205213202,-1.7050140627571273,0.3264182597363483,0,0,0,-0.6489613885078134,0,0,0,-0.7887233308829722,0.7041807652951766,0.20452844212731147,-2.3981612433170723,0,-0.3187197016372365,-2.685843315768853,-0.9512422603807469,-0.1468694447105774,0,0,3.1010540655978547,0,-0.4886187384326339,0,-0.45225109426175925,0,-0.9512422603807469,0,0,0,-0.5655797795687625,0,0,-1.011866882197182,0,0,0,0,0,-0.7887233308829722,-1.2195062469754263,-0.693413151078647,0,0,0,-1.2995489546489627,0,0,-1.4818705114429171,0,0,0,1.2781394285900038,0,0,0,0,0,-1.1453982748217046,0,-1.7050140627571273,0,-1.992696135208908,-0.8940838465407985,-0.04678598615359464,-1.7050140627571273,0,-1.8385454553816498,0,0,0,0,0,0,0,0,-1.2995489546489627,0,0,-1.8385454553816498,0,0,-2.1750176920028625,1.1058935237847907,0,0,0,-1.011866882197182,0,-2.685843315768853,-1.1453982748217046,0,0,-0.8940838465407985,0,0,0,0,0,0,-1.4818705114429171,0,-1.1453982748217046,0,-1.8385454553816498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6698916918165443,0,0,-1.4818705114429171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4818705114429171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.73993316671354,0,0,0,-1.8385454553816498,0,0,0,0,0,0,0,0,0,-1.011866882197182,0,0,0,0,0,0,0,0,0,0,0
003M03BM,2.955144169068692,1.845295807133657,1.8587640241845236,0.050140748904463184,0,0,-0.8459472756521724,3.6342264201612338,-1.4437842764077926,0,0,-0.5458426832018342,3.974737434485638,3.660506937396761,-0.7061853332770136,-1.0084662051499471,-0.7506370958478472,0,-1.0084662051499471,-1.2026222195909049,0,0,0,0.43498656980989203,-0.035017059435843656,3.3764972891972445,-2.0499200799781083,2.260879045407406,0,0,0,0,0,0,0,-0.013038152717068208,-1.7622380075263275,0,0,-3.148532368646218,-2.4553851880862725,0,0,-1.356772899418163,0,0,0,0,0,0,1.3231064247173512,0,0,0,0,0,0,0,0,3.8254787061129845,0,0,0,0,0,0,0,0,0,0,0,-2.2322416367720628,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7430672605380533,0,0,0,-3.148532368646218,0,0,0,0,0,0,0,-2.7430672605380533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004M02BM,-2.4050800143167135,0.3194994887367075,-1.540082576830109,-1.540082576830109,0,0,0,4.341919485786029,-0.19406211484815827,0,0,0,4.552060489846166,2.2088021122734,0,0,0,0,2.9655580138109494,-3.385909267328439,1.4289814496417206,0,0,1.2125719305088554,0,2.5963463406942324,0,1.2931307672261072,0,0.015288114333715797,0,0,0,0,-0.44147028816199896,0,0,0,0,0,-1.5941497981003847,0,0,0,0,0,0,-0.8209599098669029,0,0,1.5044398608933145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996117367345442,0,0,0,0,0,0,-3.791374375436604,0,0,0,0,0,0,0,0,0,0,-1.1523170458213454,0,0,0,0,0,0,-2.5386114069412358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5386114069412358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.540082576830109,0,0,0,0,0,0,0,0,0,0,0,0,0.04807793715670705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005M03BM,5.898561427397583,6.196770177930093,0.6227731739095739,3.967277962166429,3.646332480944426,0.561529548668855,0.05070392490286446,0.014985842300785368,0,0,2.2040967848628346,2.319387466221229,0,1.7914778393980515,1.3782906851959766,2.365494923576414,1.1493162135709745,1.7506558448777967,0.3514580789219983,2.9283241613169975,0,1.0182879511645697,-0.38142943028746146,0,0.11852652124162555,0,3.126478906130392,0,3.038510133184435,0,1.063898462416622,0,0,0,0,0,1.4369982860227553,1.2116593441451093,0.4021018117407533,0,-0.6250515129452117,-1.5074406931436855,0,0.10199721929041461,0.11852652124162555,0,0,-0.3287856968020395,0.29811209821670515,-0.81429351258374,0,0,-0.7734715180634852,-0.9478249052082628,-0.4369992814422723,0,-1.2197586206919047,-1.3532900133164274,0,0,-0.7342508049102037,0.05070392490286446,0,-2.6060529818117955,0,0,0,0,0,0,-1.2842971418294757,0.21234527645927992,0,-1.3532900133164274,-1.5074406931436855,0,0,0,0,0,0,0,0,-0.9478249052082628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7951227655954662,0,0,0,0,0,0,0,-0.5583601384465395,0,0,-1.91290580125185,-2.6060529818117955,-1.91290580125185,0,0,0,0,-1.2842971418294757,0,0,0,0,-1.7951227655954662,0,0,0,0,0,-2.046437193876373,0,0,0,0,0,0,-2.046437193876373,0,-1.68976224993764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.046437193876373,0,0,0,0,0,0,0,-0.81429351258374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7951227655954662,0,0,0,0,0,-1.5944520701333151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.046437193876373,-2.200587873703631,-2.046437193876373,0,0,0,-2.3829094304975857,0,0,0,0,0,0,0,0,0
006M03BM,5.460699691346764,5.18670061652272,-0.20552734947521722,3.455565769111101,2.6933550980888556,-1.021276852127495,0,6.489867378274522,0,5.96913977646921,2.053829008968008,-0.16778702149237024,0,3.6788081786133207,0.1336883730917462,-1.161038794502654,-0.5191849083302591,1.3961885168649726,-0.3955709523630824,0.4971892821008783,0,0.7030413363050272,0,0,-1.2663993101604802,0.38652371421335907,0,0,0,0,0.1336883730917462,0,0,0,0,0,-0.3281296715675497,-1.0657286146983287,-0.3281296715675497,0,-1.021276852127495,0,0,-1.161038794502654,-1.5177137384413864,0,0,-1.8541859750625989,0,-1.4487208669544347,0,0,-2.36501159882859,0,0,0,-1.8541859750625989,1.2368564782957172,0,0,0,0,0,0,-1.2663993101604802,0,0,0,0,0,0.6223524250548849,-1.3841823458168636,0,0,-1.8541859750625989,0,0,0,0,-1.2663993101604802,0,-1.758875795258274,0,0,0,0,0,0,0,0,0,0,-1.9595464907204252,0,0,0,0,0,0,0,0,0,-2.5473331556225443,0,0,0,0,0,0,0,0,0,0,-2.2108609190013313,0,-2.077329526376809,0,0,-0.6910351652569182,0,0,0,0,0,0,0,0,0,0,0,0,-2.36501159882859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5177137384413864,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5177137384413864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007M02BM,7.618439634574476,2.4799901144507546,0.747949879924322,0,3.1041444235237483,-0.8470992950576792,5.347306096046993,-0.6529432806167215,0,0,1.9074709216794243,6.811667678183512,0,1.0677202669276031,1.0988108539976347,-0.8470992950576792,0.15142953505344803,2.227576180836431,-0.6529432806167215,3.2133437154887403,0,0.640977760372154,0,0,0,0,0,0,0,0,0.40566367343768883,-1.4067150829931019,-1.1835715316788917,0,0,0,0,0.5028274218913369,0.12476128797128672,0,-0.26728079980473707,0,0,-0.4904243511189468,0.27504349102062475,0,0,0,-0.5417176455064974,-0.7781064235707276,0,0,-1.088261351874567,-1.8767187122388373,-1.5402464756176244,0,-1.288932047336718,0,-1.5402464756176244,0,0,0,0,0,-1.5402464756176244,0,0,-1.6943971554448827,0,0,0,-1.4067150829931019,-1.8767187122388373,0,-0.7781064235707276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8767187122388373,0,0,0,0,0,-1.8767187122388373,0,0,-1.5402464756176244,0,0,0,-1.5402464756176244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3875443360048276,0,0,0,0,0.010350936793542598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9212072672114009,0,0,0,0,0,0,-2.7930094441129922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7333510805031693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5402464756176244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6943971554448827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008M03BM,5.077777720806118,2.780228470335027,5.719897284508866,0.9713212699461939,2.402579977583761,-0.5351174030157599,0.5563774178834855,0.9853730234018441,0,-0.64759538644245,3.4074967160907077,0.4269193506465987,0,3.3506053152267485,1.3545279074534156,1.9794857521260925,3.846377175247593,2.472249057819572,0.7680265897719609,1.0038067250906826,1.3017103516140018,2.2829632436915848,0.32426519658651554,0,-2.3058234630459826,0,0,0,0,0,1.7105595577064063,0,0,0,0,0,0,0.9992300580632705,1.0396850127555846,0,0.8877345538379284,0,0,0.3683251863805461,0,0,0.37690893007193793,0.32426519658651554,-2.775827092291718,-0.3599133139906687,0,1.9081542741206627,-2.188040427389599,0,0,0.5125747952250927,-1.0179691747393442,0,0,0,0,0,0,0,0,0.8617590674346678,-0.8299169432364049,-1.0530604945506146,0,0,0,0,-1.74620767511056,-0.6963855506118821,-2.439354855670505,0,0,0.5050841234959353,0,-3.2866527160577084,0,0,0,0,0,0,0,0,0,0,1.3954785110665107,0,0,-0.028556178036226676,0,0,-1.6772148036236083,0,-2.3058234630459826,0,0,0,-0.4732419992976724,-2.439354855670505,0,0,0,0,0,-0.29092044250371796,-1.74620767511056,-0.8017460662697085,0,-0.09480556357742742,-1.2942225513675023,0,0,0,0,0,-2.0826799117317725,0,0,0,0,0,0,0,0,0,0,-0.29092044250371796,0,-1.74620767511056,0,-2.188040427389599,-1.0179691747393442,0,-1.5520516606696022,0,-1.900358354937818,0,0,0,0,-0.7217033585961721,-2.188040427389599,-0.6963855506118821,-0.774347092081594,0,0,-1.0179691747393442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6772148036236083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1473344884274379,-1.2942225513675023,0,0,0,0,-0.10859888570976306,0,0,0,-0.08119991152164818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6772148036236083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011M03BM,1.2621743208012282,0.38923402980068644,-0.3140655222232769,0,0,0,0,2.6421194542424598,0,0,0,0,-2.4141263511058484,5.7085416722405595,0,-2.4141263511058484,0,0,0,0,0,0,0,0,-3.1072735316657933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03149855043826655,0,-1.720979170545903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013M03BM,3.92471114916459,4.68037868670587,5.394145154468552,1.907789964466088,-0.6236367009568049,-0.9601089375780179,-0.3008633086937538,1.3687934637334016,0,1.2070381845209233,-1.365574045686182,0,2.084413500145405,2.9677874170064187,0.1160304952380331,-0.9601089375780179,1.674175113284583,0,-1.7222489896249147,0,0,-0.3359546285050241,0,-0.084640200224118,1.4558048407230308,-1.7222489896249147,0,0,0.1160304952380331,0,-0.83494579462401175,0,0.09304097701333447,0,0,0,-1.1032097812186912,0,0,0,0,0,0,-0.5326649227510782,0,0,0,-0.5326649227510782,0,-0.6236367009568049,0,0,-1.2702638658818572,0,0,0,0,1.8572938004515556,0,0,0.44271472549308344,0.09304097701333447,0,0,3.201894273117898,0,0,0,0,0,0.7012887137867936,-2.058721226246128,-1.876399669452173,0,0,0,-2.5695468500121184,0,0,1.287667918921033,0,0,0,0,0,0,0,0,0,0,-1.0291018090649695,0,0,0,-1.4709345613440084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7222489896249147,0,0,-1.5887175970003922,-1.876399669452173,0,0,0,0,0,0,0,0.0695104796031405,0,-0.6236367009568049,0,0,0,0,0,-1.1032097812186912,0,0,-1.876399669452173,0,0,0,0,0,0,0,-1.5887175970003922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7222489896249147,0.37489212915432235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1832524888922276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24386386674791805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
