Sample,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,Calditrichota,Campylobacterota,Chloroflexi,Cyanobacteria,Deinococcota,Desulfobacterota,Firmicutes,Fusobacteriota,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Proteobacteria,Spirochaetota,Synergistota,Verrucomicrobiota
001M03BM,-2.5514717825954065,1.6532208367955592,-2.7746153339096162,2.0045081592019134,0,0,0,-2.0814681533496713,-2.369150225801452,0,0,3.3976070480161376,0,0,0,0,0,7.236526351931231,-1.9636851176932875,0,-2.5514717825954065
002M02BM,-1.817902087817794,5.252785078861404,-1.1247549072578487,2.204339180502963,0,0,0,0,-1.8623538503886277,0,-1.775342473398998,4.772757233506269,-3.567101942627053,0,-2.1808075815071626,0,0,4.840387983697221,-3.0074861546916303,0,-1.7345204788787432
003M03BM,0,-1.0338836011699417,0,1.4345056174415944,-5.102910355407753,0,0,0,0,0,0,1.3608988286479384,0,0,0,0,0,3.3413895104881597,0,0,0
004M02BM,0,0,0,-0.09150855534233404,0,0,0,0,0,0,0,-2.382336491350336,0,0,0,0,0,2.473845046692671,0,0,0
005M03BM,0,-0.0738109079776681,-4.302467807807362,-0.6120270731264741,0,0,0,0,0,0,0,3.8192910486628637,0,0,0,0,0,1.1690147402486417,0,0,0
006M03BM,0,-0.992130357295637,-5.006709951048875,-0.8400447272471485,0,0,0,0,0,0,0,2.9868425195545285,0,0,0,0,0,3.852042516037132,0,0,0
007M02BM,0,4.6492589952869565,-3.459932540369119,-0.088812613944242,0,0,0,0,-4.047719205271238,0,0,5.5727288148611045,0,0,0,0,-3.711246968650025,1.0857235180865645,0,0,0
008M03BM,0,2.2689582822465946,-2.719830918788412,1.9881447975225717,0,-2.7549222385996823,0,0,-4.007685207095051,0,-0.5226063414521924,3.6520166801979395,0,0,0,0,0,4.27102868931497,0,0,-2.17510374334674
011M03BM,0,-4.528782978108167,0,0,0,0,0,0,0,0,0,0.18971589318692672,0,0,0,0,0,4.33906708492124,0,0,0
013M03BM,-2.5886741412649075,0.8498302928100587,0,-0.9114136324920459,0,0,0,0,0,0,0,2.170045039815081,0,0,0,0,0,2.6233014804991317,0,0,-2.143089039367318
014M03BM,0,2.5929953581667293,-2.235651656925692,1.6109435431799985,-2.6411167650338565,0,0,0,-2.278211271344488,0,0,5.34721411513024,0,0,-3.804267574839537,0,0,4.624575161604022,0,0,-3.216480909937418
016M02BM,0,1.1971560693808119,-3.2060727729436724,1.2696393458075317,0,0,0,0,-2.2616111641028214,0,-2.156250648444995,6.268114280660049,0,-3.360223452770931,0,0,0,2.2492483424140293,0,0,0
017M03BM,0,0,0,0,0,0,0,0,0,0,0,-2.2118502201065704,0,0,0,0,0,2.2118502201065713,0,0,0
019M02BM,0,-0.47474872746607577,0,-3.4296590064998114,0,0,0,0,0,0,0,3.9549513766771627,0,0,0,0,0,4.295406095662693,0,0,-4.3459497383739665
020M02BM,0,-0.3153972012961157,0,0.1930158760644911,0,0,0,0,0,0,0,5.4685762554899116,-2.942478339864659,0,0,0,0,1.6373740381391428,-4.041090628532769,0,0
021M03BM,-2.2479658362692603,2.8573733932962933,0,0.8670298581115485,0,0,0,0,-1.9856015718017694,0,0,5.010328936545526,-1.6979194993499882,0,-3.251267945133045,0,-0.33104322408719966,2.764667460489668,-1.9856015718017694,0,0
022M02BM,0,2.751126502591889,0,0.15953809498640759,0,0,0,-2.9807754073786907,0,0,-3.3862405154868553,5.699613151366323,0,0,0,0,-4.0793876960468,5.404687942248538,-3.56856207228081,0,0
023M03BM,-3.218760704626477,0.6109405753746611,0,-1.6390279466062925,0,0,0,0,0,0,0,2.060846121008735,0,0,0,0,0,2.186001954849374,0,0,0
027M02BM,0,1.7351586004422437,-2.0079904836057505,1.7697682599822206,0,0,0,0,-2.7271131505689565,0,0,5.837224741708497,0,0,-3.879792660507342,-4.285257768615506,0,3.55800246116459,0,0,0
028M03BM,0,0.19944393056565168,0,-1.6548358956437372,0,0,0,0,0,0,0,4.003746736112791,-3.14291295107357,-3.14291295107357,0,0,0,3.737471131112435,0,0,0
029M03BM,-2.2820390783497615,1.9458368764968617,0,1.4210250107561313,-1.0498953970571292,0,0,0,0,0,0,5.404057632017281,-1.7430425776170746,0,-2.6185113149709744,0,-0.8267518457429195,3.6513422576771957,0,-2.6185113149709744,-1.2835102482386347
030M03BM,0,-2.249393530039331,0,-3.064147842694063,0,0,0,0,0,0,0,2.154155551399761,0,0,0,0,0,3.1593858213336325,0,0,0
031M03BM,0,3.8631265927612572,-3.765946743747521,-0.8996725374304173,0,0,0,0,-5.018709712242889,0,0,5.894704624128662,0,0,0,0,0,-0.07350222346908897,0,0,0
032M03BM,0,0,0,-6.228347556741908,0,0,0,0,0,0,0,2.9979645847439738,0,0,0,0,0,3.2303829719979333,0,0,0
033M02BM,0,-3.087906546181082,0,0.2323217729474063,0,0,0,0,0,0,0,0.7848715033756877,0,0,0,0,0,2.070713269857989,0,0,0
035M03BM,-3.3478316916539503,0.47426660624620887,0,-0.322540615858415,0,0,0,0,0,0,0,2.817796224546523,0,0,0,0,0,2.984203823644206,0,0,-2.6058943469245732
036M03BM,0,3.213099073433755,-2.3759638501199976,1.6850014900282684,0,0,0,0,-2.3171233500970643,0,0,3.5818342273962127,-3.307522054124941,0,0,0,0,4.2945335864021335,0,0,-4.773859122918368
038M03BM,0,0,0,0,0,0,0,0,0,0,0,-3.22356951452033,0,0,0,0,0,3.22356951452033,0,0,0
039M02BM,0,-0.036436034939593576,0,-3.731546038804166,0,0,0,0,0,0,0,3.7957098805696186,0,0,0,0,-3.1719302508687433,3.144202444042885,0,0,0
041M02BM,0,-4.6125248384713196,0,0,0,0,0,0,0,0,0,2.5741240069295186,0,0,0,0,0,2.038400831541801,0,0,0
044M03BM,-3.0455777144677314,0.589080185479566,0,-1.8088150873188047,0,0,0,0,0,0,0,2.232536944762786,0,0,0,0,0,3.7202299018587244,0,0,-1.6874542303145375
045M03BM,0,2.7874832347142195,-4.433183170765473,-1.2719364587339088,0,0,0,-4.944008794531464,0,0,0,5.268934553082925,0,0,0,0,0,2.5927106362337042,0,0,0
046M03BM,0,-1.2230489072371986,0,-2.9039457836534437,0,0,0,0,0,0,0,3.574506964406674,0,0,0,0,0,0.5524877264839692,0,0,0
047M03BM,0,2.414573967282057,-0.708420085882862,3.080089209179916,-2.8774737862523847,0,0,-3.059795343046339,-3.7529425236062846,0,-0.08426577680986824,5.190850848448075,0,0,-2.654330234938175,0,0,4.869655182499808,0,0,-2.417941456873945
052M03BM,0,4.493610742580363,-1.3793961992950665,3.2093236289940563,-3.2252228897933968,-1.3793961992950665,0,0,-1.75888582099997,-2.3779250294061933,-1.5512464562217256,6.594774352243706,0,-2.7143972660274063,-2.244393636781671,0,0,4.7110798034085635,0,0,-2.3779250294061933
055M02BM,0,0.07375696513414365,0,-1.7768430041168446,0,0,0,0,0,0,0,3.4602032248502903,-4.86788545747516,0,0,0,0,3.1107682716075713,0,0,0
062M03BM,0,-5.4296422718521224,0,0.6443892667699291,0,0,0,0,0,0,0,0.8200571463813393,0,0,0,0,0,3.965195858700856,0,0,0
102M02BM,0,-1.145280656230688,0,-3.4024033751479763,0,0,0,0,0,0,0,2.7884810855205044,0,0,0,0,0,1.759202945858159,0,0,0
104M02BM,0,-0.03584163785975836,0,-2.2014608757806466,0,0,0,0,-4.321724411980737,0,0,3.8963437070986613,0,0,0,0,0,2.6626832185224822,0,0,0
105M02BM,0,1.1616954583210601,0,-2.879013888068409,0,0,0,0,0,0,0,4.110812808593602,0,0,0,0,-4.488451800502509,2.0949574216562556,0,0,0
309M03BM,0,2.250375303544499,-0.6570643628638138,2.5221624881464946,0,0,0,0,-2.7796780764088584,0,-2.973834090849816,4.658601642018836,-1.6239073739008,0,-2.6171591469110838,0,0,5.006727149021374,0,-2.0019735078208503,-1.7842500239759795
