Metabolite,NPC.superclass,NPC.class,NPC.pathway,ClassyFire.superclass,ClassyFire.class,ClassyFire.subclass,ClassyFire.level.5
65,Aminosugars and aminoglycosides,Aminosugars,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Alkyl glycosides
51,Aminosugars and aminoglycosides,Aminosugars,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides
678,Nicotinic acid alkaloids,Pyridine alkaloids,Alkaloids,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxamides
63,Small peptides,Aminoacids,Alkaloids,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,NA
61,Small peptides,Phenylethanoids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
135,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
136,Nucleosides,Purine nucleos(t)ides,Carbohydrates,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA
47,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,NA
104,Lysine alkaloids,Piperidine alkaloids,Alkaloids,Organoheterocyclic compounds,Azacyclic compounds,NA,NA
85,Nucleosides,Purine nucleos(t)ides,Carbohydrates,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA
342,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
71,Saccharides,Monosaccharides,Carbohydrates,Organoheterocyclic compounds,Oxepanes,NA,NA
123,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Shikimates and Phenylpropanoids,Benzenoids,Benzene and substituted derivatives,Styrenes,NA
163,Tyrosine alkaloids,Phenylethylamines,Alkaloids,Benzenoids,Phenol ethers,NA,NA
125,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
126,Small peptides,Dipeptides,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
150,Saccharides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
10,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
44,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
