ASV,001M03BM,002M02BM,003M03BM,004M02BM,005M03BM,006M03BM,007M02BM,008M03BM,011M03BM,013M03BM,014M03BM,015M03BM,016M02BM,017M03BM,019M02BM,020M02BM,021M03BM,022M02BM,023M03BM,027M02BM,028M03BM,029M03BM,030M03BM,031M03BM,032M03BM,033M02BM,035M03BM,036M03BM,037M04BM,038M03BM,039M02BM,041M02BM,044M03BM,045M03BM,046M03BM,047M03BM,052M03BM,055M02BM,062M03BM,102M02BM,104M02BM,105M02BM,309M03BM,401M02BM,425M03BM,427M03BM,428M03BM,431M02BM,432M02BM,434M03BM,435M03BM,439M04BM,440M03BM,441M03BM,442M02BM,443M03BM,444M02BM,447M03BM,451M03BM,452M03BM,453M02BM,454M02BM,467M02BM,469M03BM,471M03BM,475M02BM,476M02BM,492M02BM,501M03BM,502M03BM,503M03BM,505M03BM,506M02BM,508M02BM,509M02BM,510M02BM,511M03BM,512M03BM,514M02BM,515M02BM,516M02BM,517M02BM,518M02BM,521M02BM,522M02BM,523M02BM,524M03BM,525M04BM,526M03BM,528M03BM,530M03BM,531M02BM,533M03BM,542M02BM,544M03BM,546M03BM,547M02BM,549M03BM,553M02BM,555M03BM,557M04BM,558M03BM,559M03BM,811M03BM,812M03BM,813M02BM,814M02BM,817M02BM,818M02BM,819M02BM,821M02BM,822M02BM,823M03BM,825M02BM,CN-1,CN-2,CN-3,DB01CPM02BM,DB01M03BM,DB02CP03BM,DB02CPM03BM,DB03M03BM,DB04M02BM,DB05M03BM,DB06M03BM,DB07M03BM,DB8M02BM,WM022M02BM,WM023M02BM,WM02M02BM,WM03M02BM,WM06M02BM,WM09M02BM,WM10M02BM,WM11M03BM,WM12M03BM,WM13M02BM,WM15M02BM,WM16M03BM,WM17M03BM,WM19M03BM,WM20M04BM,WM21M04BM,WM24M02BM,WM26M03BM,WM28M02BM
ASV1,76,9704,794,8,14929,10782,44797,919,41,1158,14664,35,71608,32,3987,1073,5416,11699,6722,7657,615,474,5706,62734,46,824,2121,175,537,17,3476,200,1101,7861,1358,338,4121,1490,527,35,351,5125,5079,1442,14931,35452,28119,25421,8696,13369,2675,0,1650,1079,3612,7920,5291,11017,5690,50,1034,3259,2246,2126,7730,43436,17561,1431,27980,0,23603,32814,103,305,178,464,229,1121,58425,8294,39345,4881,377,503,12816,9344,15782,2087,554,13801,9575,840,15334,71507,2716,46439,8075,1964,180,5508,983,7000,46394,1137,11002,956,4129,3756,52187,1427,1940,4959,5300,6138,11,50,15,42971,22642,10567,11102,1690,6412,6051,31268,16389,63362,8228,6832,4241,5527,21116,26060,15752,5434,22876,1129,1055,7008,5164,797,51,430,28856,6620,1992
ASV2,1124,192,228,122,14789,4319,64,341,33,2293,5992,1531,1001,94,967,8424,3595,24876,0,34396,3506,2515,6039,6370,36,1113,1409,2779,233,0,111,170,0,19679,2163,3518,9012,609,2462,8287,6634,3144,2130,95,16197,18117,26520,11465,16938,6006,3473,121,8692,4517,10774,3453,41370,24580,35786,6,42480,8863,997,5803,1208,0,5764,44083,8381,370,394,9250,209,1080,4330,133,30,40544,3694,14606,29562,4213,2477,3407,12677,1052,21461,1979,3731,1855,55678,229,4406,18272,20938,25207,106,1304,61,47530,5222,5936,17108,84130,8286,575,30989,23665,12278,4915,30367,3508,9138,8420,0,31,16,2821,747,9614,8604,6799,5988,2743,21372,680,731,19239,18578,17205,7063,143,14539,3853,24958,23181,439,17922,11141,1163,16215,1098,2812,5245,31720,17194
ASV3,43,1462,0,0,73,6311,326,648,64,1891,18857,247,467,41,380,11052,20479,354,0,23914,1533,406,3258,1675,25,125,405,789,1337,9,2020,194,48,28513,5805,12306,63,129,54,20,86,2604,10186,68,11086,8587,1191,5135,4748,8485,24508,75,337,35206,47,461,4430,16234,0,0,1977,13801,1422,927,4198,4885,533,2480,15239,503,816,22584,34491,84,2981,77,1331,17556,423,0,23358,20702,1310,439,39,98,16678,9029,326,468,42406,18,1167,1962,30195,12318,59845,19487,93,3057,2772,16201,1712,3676,33,205,2759,35668,0,3559,0,850,6675,1892,9,0,0,8518,123,831,757,4102,1842,7663,4760,5428,16703,13805,6130,3523,5418,731,4126,2267,11348,6613,120,45,1654,1838,3862,2609,740,9513,30145,1287
ASV4,0,312,0,0,229,1735,88,205,0,730,922,0,2428,0,0,0,91,7628,158,16723,849,160,1835,72,0,0,333,1792,55,0,589,162,56,541,0,147,0,242,0,26,1179,0,43,0,16136,1650,609,2016,38187,144,9671,131,70,15630,1832,0,2316,6657,6177,0,0,42062,0,57,2344,0,22687,30952,0,406,0,14956,35,281,1421,560,61,21052,1328,261,509,941,0,106,211,0,52,135,1861,0,3665,70,21,1630,3892,2014,99,15180,0,2348,0,8347,2585,661,1354,82,230,37881,0,28725,3016,43,1765,2353,0,0,0,152,0,0,0,77,686,0,934,4242,3906,25104,310,13666,35688,9352,23113,17611,27218,13742,456,1252,6028,1145,116,16,71,33239,11849,89
ASV5,4354,11331,299,19,0,0,0,23707,49,8624,0,1379,0,98,361,474,0,2248,7849,0,6253,1881,0,0,0,120,4725,19624,586,28,1526,93,7259,0,754,17100,4126,222,0,2935,3002,1966,16424,6933,0,0,0,0,0,0,21427,4265,0,0,0,0,0,0,0,0,21136,0,0,0,0,0,0,8246,0,1156,0,0,18851,955,2182,0,90,0,0,1703,0,0,0,0,0,0,0,777,46427,33789,0,75563,23379,0,0,0,0,0,56,0,2477,3149,0,11685,0,2883,0,2296,13637,0,3327,17419,0,0,0,0,256,0,21398,0,0,29118,0,26268,4811,0,0,0,7304,0,0,0,0,0,0,0,0,0,0,0,0,269,19792,0,0,0
ASV6,9,23,49,19,2863,1613,0,212,0,224,25,122,10,31,1017,1972,1298,2012,0,4426,142,67,204,0,0,73,369,1254,332,12,0,21,4,5953,116,43,4279,405,227,136,1540,176,1552,24,28454,4174,21,1863,4538,954,0,49,4443,9502,3745,154,32663,29331,0,0,3553,572,247,3208,1976,81,205,11991,429,109,31,1188,42,210,460,54,0,4339,558,5471,14,14789,519,703,2145,141,17073,148,666,54,627,0,452,5620,3741,5859,62,5066,21,2608,685,0,2399,11306,12855,47,3034,361,2393,5302,533,1432,1474,2423,0,0,0,495,221,3440,2787,751,934,2195,20600,157,1529,2202,9748,2138,1322,269,121,3327,3656,3251,67,10569,290,248,2940,162,123,4590,12615,1376
ASV7,0,0,0,0,49,0,0,11558,196,0,0,14,0,16,15,13,0,0,0,743,10,30,0,875,39,0,0,0,0,0,0,7090,32,0,108,13,41,3686,0,0,0,0,123,0,63,4051,43909,183,0,68,0,0,0,0,0,67509,0,0,0,0,0,21,65,1470,58021,0,0,0,0,0,0,0,0,0,284,0,0,37,7799,0,0,0,0,0,16120,42,259,0,0,0,0,0,181,0,35,5034,23150,1583,63,57,0,0,0,0,27,18,38,0,676,109,0,0,0,0,0,0,0,125,72,0,44,262,62,0,0,93,22,36,725,0,264,68,112,23,0,0,496,3367,0,0,0,418,21,42,53,391
ASV8,114,274,0,0,2077,944,728,887,0,21,4457,0,1678,0,0,0,5556,39,0,1657,0,0,0,64,0,0,0,326,0,0,0,0,4,297,0,5366,1695,0,207,0,0,0,586,1079,321,501,54,610,881,11643,3291,0,1998,1280,432,320,1512,0,0,0,4991,1997,54,3284,7,5,8414,429,1685,32,1024,7,267,49,38,38,10,1756,884,42,376,673,4836,111,5814,4364,1003,0,2039,375,989,38,3620,247,770,1066,142,0,0,2028,0,72,1572,242,4541,394,2016,502,2984,393,112,150,6011,1257,0,0,0,3291,7257,1074,1086,13197,291,13837,872,140,979,711,213,1915,3152,2406,0,0,0,0,0,0,0,12531,617,0,0,0,0,2509
ASV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,40,0,0,0,0,0,0,0,79656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36437,0,0,0,0,0,0,0,0,0,17,35,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,0,0,0,0,1047,513,0,0,0,0,0,0,0,0,0,0,733,0,0,356,0,0,0,0,0,345,0,1252,0,0,0,0,153,536,0,0,0,48,0,0,0,0,132,0,0,0,0,0,0,0,0,0,1626,46816,0,0,268,0,0,0,4574,0,0,0,0,0,0,210,0,0,89,0,505,0,0,0,0,0,0,0,0,0,227,320,4237,655,0,0,0,0,0,0,86,0,0,0,0,9034,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,360,368,0,0,0,0,0,0,0,29212,0,0,0,0,2077,0,0,0,3119,0,0,547,0,1162,0,0,0
ASV12,0,0,0,0,239,0,9628,0,0,0,0,0,0,0,403,119,150,1414,0,0,0,0,0,12561,0,0,0,0,0,0,101,0,0,629,318,0,927,0,0,0,0,0,328,85,157,2646,1021,2273,2965,0,63,0,0,200,0,154,0,215,1114,0,0,448,0,0,0,1256,1268,0,4421,0,2706,594,0,0,0,85,0,97,0,1564,220,95,0,0,1844,1122,619,181,0,2009,488,64,194,7616,0,3297,0,87,0,416,89,248,6559,112,254,177,157,0,9686,0,0,1110,0,0,0,0,0,0,4871,1489,1858,0,119,1453,2022,1948,2726,0,628,109,0,2724,0,0,0,282,0,0,793,1101,0,0,127,169,0,0
