"Var1","Freq"
"Proteobacteria",255
"Firmicutes",225
"Actinobacteriota",118
"Bacteroidota",91
"Planctomycetota",19
"Verrucomicrobiota",19
"Desulfobacterota",15
"Cyanobacteria",14
"Chloroflexi",11
"Acidobacteriota",10
"Myxococcota",7
"Gemmatimonadota",5
"Patescibacteria",5
"Spirochaetota",5
"Bdellovibrionota",4
"Campylobacterota",4
"Fusobacteriota",4
"Synergistota",4
"Calditrichota",3
"Deinococcota",3
"Dependentiae",2
"Fibrobacterota",2
"Halanaerobiaeota",2
"Abditibacteriota",1
"Armatimonadota",1
"Cloacimonadota",1
"Deferribacterota",1
"Entotheonellaeota",1
"Latescibacterota",1
"Modulibacteria",1
"Nitrospirota",1
"Sumerlaeota",1
"Thermotogota",1
