Assay,Well,Strain,Treatment,Replicate,Time,OD
240214,A4,Rothia 1,No treatment,1,0,0
240214,A4,Rothia 1,No treatment,1,0.5,0
240214,A4,Rothia 1,No treatment,1,1,0.005
240214,A4,Rothia 1,No treatment,1,1.5,0.011
240214,A4,Rothia 1,No treatment,1,2,0.016
240214,A4,Rothia 1,No treatment,1,2.5,0.023
240214,A4,Rothia 1,No treatment,1,3,0.031
240214,A4,Rothia 1,No treatment,1,3.5,0.038
240214,A4,Rothia 1,No treatment,1,4,0.042
240214,A4,Rothia 1,No treatment,1,4.5,0.048
240214,A4,Rothia 1,No treatment,1,5,0.052
240214,A4,Rothia 1,No treatment,1,5.5,0.054
240214,A4,Rothia 1,No treatment,1,6,0.061
240214,A4,Rothia 1,No treatment,1,6.5,0.074
240214,A4,Rothia 1,No treatment,1,7,0.083
240214,A4,Rothia 1,No treatment,1,7.5,0.089
240214,A4,Rothia 1,No treatment,1,8,0.092
240214,A4,Rothia 1,No treatment,1,8.5,0.095
240214,A4,Rothia 1,No treatment,1,9,0.098
240214,A4,Rothia 1,No treatment,1,9.5,0.101
240214,A4,Rothia 1,No treatment,1,10,0.105
240214,A4,Rothia 1,No treatment,1,10.5,0.108
240214,A4,Rothia 1,No treatment,1,11,0.111
240214,A4,Rothia 1,No treatment,1,11.5,0.116
240214,A4,Rothia 1,No treatment,1,12,0.123
240214,A4,Rothia 1,No treatment,1,12.5,0.13
240214,A4,Rothia 1,No treatment,1,13,0.136
240214,A4,Rothia 1,No treatment,1,13.5,0.141
240214,A4,Rothia 1,No treatment,1,14,0.144
240214,A4,Rothia 1,No treatment,1,14.5,0.147
240214,A4,Rothia 1,No treatment,1,15,0.149
240214,A4,Rothia 1,No treatment,1,15.5,0.151
240214,A4,Rothia 1,No treatment,1,16,0.153
240214,A4,Rothia 1,No treatment,1,16.5,0.155
240214,A4,Rothia 1,No treatment,1,17,0.157
240214,A4,Rothia 1,No treatment,1,17.5,0.158
240214,A4,Rothia 1,No treatment,1,18,0.16
240214,A4,Rothia 1,No treatment,1,18.5,0.161
240214,A4,Rothia 1,No treatment,1,19,0.163
240214,A4,Rothia 1,No treatment,1,19.5,0.164
240214,A4,Rothia 1,No treatment,1,20,0.165
240214,A4,Rothia 1,No treatment,1,20.5,0.166
240214,A4,Rothia 1,No treatment,1,21,0.166
240214,A4,Rothia 1,No treatment,1,21.5,0.166
240214,A4,Rothia 1,No treatment,1,22,0.167
