Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	87.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=126&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	N/A	N/A	 	0.3487	0.3487	0	N/A	N/A	37330474.13999998	389	9	126	 	389	181.0707	1	181.0707	37330474.13999998
 	 	87.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16","main.cluster index_upperinput":"16"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=396&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	N/A	N/A	 	0.3451	0.3451	0	N/A	N/A	14710690.747500008	387	16	396	 	387	289.0919	1	289.0919	14710690.747500008
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31","main.cluster index_upperinput":"31"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=124&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	N/A	N/A	 	0.3315	0.3315	0	N/A	N/A	4472814.42302	210	31	124	 	210	460.2024	1	460.2024	4472814.42302
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"37","main.cluster index_upperinput":"37"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3180	0.3180	0	N/A	N/A	31942.312	1	37	-1	 	1	582.4049	2	291.7024	31942.312
 	 	72.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"38","main.cluster index_upperinput":"38"}	This Node is a Singleton	"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1"	METHIONINE	0.8999879999999999	 	0.3215	0.3215	0	CSCC[C@@H](C(=O)O)N	CCMSLIB00006682581	3817386.3408999997	245	38	-1	 	245	150.0587	1	150.0587	3817386.3408999997
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"39","main.cluster index_upperinput":"39"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=140&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	Suspect related to Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C8H20NO6P) with delta m/z -250.266 (putative explanation: unspecified; atomic difference: unspecified)	0.9911559999999999	 	0.3431	0.3431	0	N/A	CCMSLIB00009983773	253453246.97540015	357	39	140	 	357	258.1103	1	258.1103	253453246.97540015
4.0	[M+NH4]+	87.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"43","main.cluster index_upperinput":"43"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=39&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	Spectral Match to Melibiose from NIST14	0.990541	 	0.3409	0.3409	0	N/A	CCMSLIB00003135373	1552966834.3699994	380	43	39	342.1164	380	360.1503	1	360.1503	1552966834.3699994
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"45","main.cluster index_upperinput":"45"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=436&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	N/A	N/A	 	0.3197	0.3197	0	N/A	N/A	27097565.764999997	322	45	436	 	322	123.0553	1	123.0553	27097565.764999997
4.0	[M+H]+	87.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"46","main.cluster index_upperinput":"46"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=39&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	Spectral Match to Lactose from NIST14	0.997972	 	0.3408	0.3408	0	N/A	CCMSLIB00003135293	1816390950.55	379	46	39	342.1164	379	343.1237	1	343.1237	1816390950.55
 	 	185.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"47","main.cluster index_upperinput":"47"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=110&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	PHOSPHOCHOLINE CHLORIDE - 40.00 eV	0.989448	 	0.3381	0.3381	0	C[N+](C)(C)CCOP(O)(O)=O	CCMSLIB00005884235	223388703.04489988	352	47	110	 	352	184.0734	1	184.0734	223388703.04489988
 	 	267.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"48","main.cluster index_upperinput":"48"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=154&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	Spectral Match to Acetyl-DL-carnitine from NIST14	0.9880459999999999	 	0.3248	0.3248	0	N/A	CCMSLIB00003135237	180297755.50270003	372	48	154	 	372	204.1232	1	204.1232	180297755.50270003
 	 	87.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"50","main.cluster index_upperinput":"50"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=396&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	N/A	N/A	 	0.3487	0.3487	0	N/A	N/A	23418450.22479998	389	50	396	 	389	307.1027	1	307.1027	23418450.22479998
 	 	87.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"53","main.cluster index_upperinput":"53"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=39&task=e8905c85fe114d9e9e493557eadf509f&show=true	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8+,9-,10-,11?,12+/m1/s1 - 145.027 Da	Suspect related to 4-O-.beta.-Galactopyranosyl-D-mannopyranose (predicted molecular formula: C7H18O4P) with delta m/z -145.027 (putative explanation: unspecified; atomic difference: unspecified)	0.918733	 	0.3285	0.3285	0	N/A	CCMSLIB00009937631	98875646.15600011	382	53	39	 	382	198.0972	1	198.0972	98875646.15600011
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"54","main.cluster index_upperinput":"54"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3485	0.3485	0	N/A	N/A	40286315.8282	387	54	-1	 	387	130.0500	1	130.0500	40286315.8282
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"58","main.cluster index_upperinput":"58"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=306&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	N/A	N/A	 	0.3364	0.3364	0	N/A	N/A	7042171.419400001	94	58	306	 	94	489.1908	1	489.1908	7042171.419400001
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"59","main.cluster index_upperinput":"59"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=318&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	N/A	N/A	 	0.3449	0.3449	0	N/A	N/A	61759828.514900014	367	59	318	 	367	148.0605	1	148.0605	61759828.514900014
0.0	[M+NH4]+	166.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"63","main.cluster index_upperinput":"63"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=140&task=e8905c85fe114d9e9e493557eadf509f&show=true	N/A	N/A	N/A	 	0.3249	0.3249	0	N/A	N/A	28788169.784469977	341	63	140	238.06886	341	256.1028	1	256.1028	28788169.784469977
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e8905c85fe114d9e9e493557eadf509f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"69","main.cluster index_upperinput":"69"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3250	0.3250	0	N/A	N/A	838776.5512999996	57	69	-1	 	57	139.0502	1	139.0502	838776.5512999996
