"Sample","Secretor","Diversity","Evenness","X2_FL","X3_FL","LNnT","X3_SL","DFLac","X6_SL","LNT","LNFP_I","LNFP_II","LNFP_III","LSTb","LSTc","DFLNT","LNH","DSLNT","FLNH","DFLNH","FDSLNH","DSLNH","SUM","Sia","Fuc"
"14HM01.M",1,3.09,0.16,10268.9,1410,283.5,112.3,233.8,953.5,1321.4,3157.1,272.7,78.3,24.5,87,25.7,15.3,355.4,84.3,308.6,92.5,230.8,19315.7,2534.9,16500
"14HM02.M",1,5.28,0.28,5725.1,834.2,115.3,1822.5,3058.8,230.4,302.5,36.5,2420.6,126.7,119.3,79.7,1041.1,15.4,606.3,11.7,81.9,194.5,20.7,16843,3894.8,17712.8
"14HM03.M",1,6.17,0.33,4780.1,353.9,522.8,631.5,1099.3,392.4,1316.6,423.4,2713.5,157.1,118.6,141.2,2270.7,33.7,495.4,15,31.9,161,3.4,15661.4,2603.3,15407.7
"14HM04.M",1,4.76,0.25,6634.2,675,485.2,635.7,702,542.8,1038.2,419.1,2250.4,123.7,44.6,98.3,1754.7,37.9,334.4,67,30.3,308.8,72.1,16254.5,2751.9,15452.4
"14HM05.M",1,1.72,0.09,15139.1,949.7,324.8,262.1,407.7,59.9,256.8,1747,397.8,60.8,51.1,38.9,51.2,8.7,175.5,5.7,20.2,72.3,38.8,20067.8,985.2,19330.3
"14HM06.M",0,5.38,0.28,2.4,11,811.5,170.3,14.8,1048.3,2656.1,85.9,3086,233.3,94.9,32.7,273,28.7,445.4,224.5,198.8,626.2,117.5,10161.1,3724.5,5242.4
"14HM07.M",1,3.86,0.2,7899.6,531.8,445.3,781.8,904.2,305.6,909.2,294.9,2479.8,170.4,58.1,94.4,1283.8,41.2,220.1,29.6,68.3,281,11.3,16810.5,2264.7,16199.7
"14HM08.M",0,5.02,0.26,26.9,217.1,429.4,711.7,68.4,497.1,1441.5,110.9,3194.5,189.9,114.8,31.9,468.4,12.6,438.7,28.1,103.7,221.1,15.5,8322.1,2705.9,5269.6
"14HM09.M",1,3.83,0.2,8010.3,587.4,540.5,476.1,871.4,535.8,1614.4,3219.7,665.1,126.2,97.3,13.6,10.2,1.6,575.5,12.5,60.8,72.5,3.6,17494.5,2426,14578.4
"14HM10.M",1,5.91,0.31,4752.8,371.3,425.8,599.5,663,407.8,1292.2,498,2643.7,90.9,56.3,129.5,2009.1,53.9,434.7,30.5,31.2,310.9,14,14815,2712.3,14104.6
"14HM11.M",1,6.89,0.36,4367.5,322.7,644.8,464.6,657.1,1012.2,1984.1,602.3,2735.5,213.3,67.5,76.9,1956.7,47.7,519.5,38.4,19.2,250.3,41.7,16022.3,3244.3,13796.1
"14HM12.M",1,3.94,0.21,7595.4,600,351.8,668.4,679.7,305.5,840.9,1199.5,1530.3,90.5,35.8,68,1724.1,27.5,350.3,8.1,20.8,129.1,1.7,16227.4,2039.8,16002
"14HM13.M",1,3.8,0.2,7294.8,488.8,486.3,596.3,417.7,423.5,684.9,293.1,2231.2,62,18,115.9,1897.1,59.6,171,25.9,18.1,232.7,34.5,15551.2,2029.8,15294.3
"14HM14.M",0,5.28,0.28,1.6,22.2,1305.2,168.9,11.5,1949.6,2800.4,61.3,2672.3,157.7,58.1,60.6,186,43.2,353.7,57.4,35.4,389.7,165.1,10499.8,4054.3,3827.9
"14HM15.M",1,2.09,0.11,14448.8,735.3,504.2,899.1,567.2,193,379.2,665.6,797.7,51.5,23.6,67.2,1416,41.3,188,33.2,20.8,112.1,2.9,21146.6,1789,20852
"14HM16.M",1,5.16,0.27,5959,513.7,585.1,898.2,1125.6,312.8,686.7,382.3,2276.9,193.7,74.3,93.6,2270.5,63.3,307.5,12.4,17.3,175.2,13.6,15961.6,2371.6,16339.9
"14HM17.M",0,4.13,0.22,0.6,23.9,930.7,350.8,33,727.6,1435.2,74,4068.7,230.9,130.3,24.8,356.8,32.6,174.7,9.4,56.7,514.6,61.2,9236.4,2734.4,5815
"14HM18.M",1,2.84,0.15,10473.5,635.1,577.6,550.8,578.5,296.5,595.6,811,1729.2,100.2,19.9,65.1,1351.2,45,205.8,10.1,19.6,171.6,8,18244.2,1702.9,17829.3
"14HM19.M",1,3.78,0.2,8262.6,666.4,329.3,885.3,1205.9,197,562.6,602.1,1359.3,106.7,91.4,79.4,2155.9,15.8,571.8,10.7,18.3,121.5,1.3,17243.3,2642.3,17889.5
"14HM20.M",1,3.58,0.19,9305.1,604.7,762.5,615.8,588.3,448.8,1084.4,1071.7,1617.4,123.9,43.2,60.2,1518.5,55.7,221.3,51.7,66,258.8,13.5,18511.3,2155.1,17378.8
"14HM21.M",1,2.35,0.12,13048.9,927,924.3,574,624.3,240.8,473.3,882,1001.7,86.4,27.8,58.6,976.7,53.2,154.6,44.6,65.6,138.6,4.3,20306.6,1496.2,19462.5
"14HM22.M",1,4.18,0.22,7875.1,460.5,1038.7,504.9,496.7,492.7,1348.9,935.2,2061.6,137.5,46.5,83.3,1572.3,46.5,177.5,25.6,37.2,181.3,17.9,17539.8,1880.7,15889.2
"14HM23.M",1,3.28,0.17,10262.7,689.8,423,868.9,703.8,417.7,679.6,616.6,2003.9,90.6,29.8,131.4,2011.5,41.6,232.6,31.1,18.5,271.3,26,19550.5,2507.6,19433.8
"14HM25.M",1,3.29,0.17,9624.9,416.5,695.3,243.1,385.5,600.3,1261,3613.6,1030.4,96.6,155.3,47.6,57.7,4.7,507.6,18.2,57.9,106.8,91.7,19014.7,2458.4,15909.4
