"Metabolite","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif","p.adj.BH","LibraryID","Precursor_Mass","Network_Number","NPC.superclass","NPC.class","NPC.pathway","ClassyFire.superclass","ClassyFire.class","ClassyFire.subclass","ClassyFire.level.5"
"10013","Amigos","High","Low",0,-0.662340577912806,-0.996035063698717,-0.328646092126895,1.27e-05,"****",0.000233735736677116,NA,990.2523,89,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10013","Amigos","High","Medium",0,-0.734092184942415,-1.03245895656409,-0.435725413320745,4.71e-08,"****",1.60769825581395e-06,NA,990.2523,89,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10013","Amigos","Low","Medium",0,-0.0717516070296091,-0.355061873631062,0.211558659571844,0.822,"ns",1,NA,990.2523,89,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10034","Amigos","High","Low",0,0.65828783864889,0.033621208892014,1.28295446840577,0.0361,"*",0.199194642857143,NA,228.1264,55,"Fatty esters","Menthane monoterpenoids","Fatty acids","Organophosphorus compounds","Organophosphinic acids and derivatives",NA,NA
"10034","Amigos","High","Medium",0,0.160565599075642,-0.397968549972072,0.719099748123355,0.777,"ns",1,NA,228.1264,55,"Fatty esters","Menthane monoterpenoids","Fatty acids","Organophosphorus compounds","Organophosphinic acids and derivatives",NA,NA
"10034","Amigos","Low","Medium",0,-0.497722239573248,-1.02807103750632,0.0326265583598219,0.0711,"ns",0.306481718061674,NA,228.1264,55,"Fatty esters","Menthane monoterpenoids","Fatty acids","Organophosphorus compounds","Organophosphinic acids and derivatives",NA,NA
"10039","Amigos","High","Low",0,-0.672207080532322,-0.998269413525339,-0.346144747539305,5.51e-06,"****",0.000109287871621622,NA,917.3794,NA,"Oligopeptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10039","Amigos","High","Medium",0,-0.763868259505359,-1.05541088243312,-0.472325636577593,5.82e-09,"****",2.67864375e-07,NA,917.3794,NA,"Oligopeptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10039","Amigos","Low","Medium",0,-0.0916611789730368,-0.368491664413572,0.185169306467498,0.716,"ns",1,NA,917.3794,NA,"Oligopeptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10061","Amigos","High","Low",0,-0.217339824566102,-0.66724944509769,0.232569795965487,0.492,"ns",0.908057843445457,NA,704.2649,NA,"Aminosugars and aminoglycosides","Aminoglycosides","Carbohydrates","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides"
"10061","Amigos","High","Medium",0,-0.0408180697776697,-0.443096461293148,0.361460321737808,0.969,"ns",1,NA,704.2649,NA,"Aminosugars and aminoglycosides","Aminoglycosides","Carbohydrates","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides"
"10061","Amigos","Low","Medium",0,0.176521754788432,-0.205456431752955,0.558499941329819,0.522,"ns",0.928685454545455,NA,704.2649,NA,"Aminosugars and aminoglycosides","Aminoglycosides","Carbohydrates","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides"
"10075","Amigos","High","Low",0,-0.312338810173132,-0.59063343152623,-0.0340441888200342,0.0234,"*",0.147880947255113,NA,1052.0962,107,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10075","Amigos","High","Medium",0,-0.283151028410792,-0.531983032743255,-0.0343190240783283,0.0211,"*",0.137489567147614,NA,1052.0962,107,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10075","Amigos","Low","Medium",0,0.0291877817623405,-0.20708739426763,0.265462957792311,0.954,"ns",1,NA,1052.0962,107,"Small peptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10086","Amigos","High","Low",0,-1.35970965486254,-1.97112367768838,-0.74829563203669,8.61e-07,"****",2.10622125e-05,NA,917.308,89,"Oligopeptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10086","Amigos","High","Medium",0,-1.40806156623042,-1.95474614114967,-0.861376991311181,1.05e-08,"****",4.49967153284672e-07,NA,917.308,89,"Oligopeptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
