Metabolite,Genera,Microbe_Metabolite_cor,p,padj,Microbe_HMO_cor,Direction
X10230,Streptococcus,-0.16066635706545684,0.018128954253865626,0.34734138457634944,-0.13618358325387883,-1
X10367,Streptococcus,-0.14010747615007704,0.03654451126044678,0.4623938346444463,-0.13618358325387883,-1
X10574,Streptococcus,-0.14726036224321637,0.02825574852648849,0.42398732815682727,-0.13618358325387883,-1
X10604,Streptococcus,-0.1806427797425547,0.007781151205827452,0.32863122063467304,-0.13618358325387883,-1
X10696,Streptococcus,-0.1665005914544295,0.012985643687900783,0.3294163403568749,-0.13618358325387883,-1
X10711,Streptococcus,-0.17906114798686565,0.008195604103669929,0.32863122063467304,-0.13618358325387883,-1
X10904,Streptococcus,-0.16112043759102582,0.01651511449412313,0.34652039676928437,-0.13618358325387883,-1
X14307,Streptococcus,-0.2035920762513238,0.001519969033475288,0.1736875082167981,-0.13618358325387883,-1
X1766,Streptococcus,0.16622665454218422,0.011760453626103118,0.3294163403568749,-0.13618358325387883,1
X1767,Streptococcus,0.21983073036946904,5.013151540955718e-4,0.11722419353268121,-0.13618358325387883,1
X341,Streptococcus,-0.13866877179658849,0.035984884350029445,0.4623938346444463,-0.13618358325387883,-1
X3652,Streptococcus,0.13871352148417407,0.031347428708908165,0.44767394705145225,-0.13618358325387883,1
X7226,Streptococcus,-0.14313312382267696,0.03510315385415197,0.4623938346444463,-0.13618358325387883,-1
X7232,Streptococcus,-0.13736213792267604,0.040418018258868704,0.4623938346444463,-0.13618358325387883,-1
X7268,Streptococcus,-0.1308322492176787,0.04375497211942947,0.4638630103809586,-0.13618358325387883,-1
X7269,Streptococcus,-0.14267514831452968,0.02677786079319433,0.4128498757456225,-0.13618358325387883,-1
X734,Streptococcus,0.16367854059890996,0.009973044091761807,0.3294163403568749,-0.13618358325387883,1
X7475,Streptococcus,0.12814842643354682,0.04209626996392313,0.4623938346444463,-0.13618358325387883,1
X7636,Streptococcus,-0.13606251190331908,0.04236900213606809,0.4623938346444463,-0.13618358325387883,-1
X8122,Streptococcus,0.1278474672737621,0.04300243317783736,0.46252442017140816,-0.13618358325387883,1
X8124,Streptococcus,0.1458701238711632,0.02053054068219029,0.36693437677850926,-0.13618358325387883,1
X10574,Haemophilus,-0.19077054550633812,0.03768898320654479,0.4623938346444463,-0.15513743514246217,-1
X10604,Haemophilus,-0.2543796550225539,0.005645749953518964,0.30465335326104254,-0.15513743514246217,-1
X10696,Haemophilus,-0.23181824993630956,0.011905477062829073,0.3294163403568749,-0.15513743514246217,-1
X10706,Haemophilus,-0.18715994872525282,0.041532860476800604,0.4623938346444463,-0.15513743514246217,-1
X10771,Haemophilus,0.17649018831337313,0.04457329634256668,0.4650541063383254,-0.15513743514246217,1
