Sample, Streptococcus, Haemophilus, Gemella, Moraxella, Actinomyces, Geobacillus, Deinococcus, Thermus, Corynebacterium, Campylobacter, Staphylococcus, Brevibacterium, Dolosigranulum, Acinetobacter, Stenotrophomonas, Enterobacteriaceae, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium, Empedobacter, Prevotella, Novosphingobium, Caldicellulosiruptor, Brevundimonas, Veillonella, Sphingobium, Comamonadaceae, Delftia, Bergeyella, Lactococcus, Enterococcus, Bacillaceae, Thermoanaerobacterium, Escherichia-Shigella, Abiotrophia, Methylobacterium-Methylorubrum, Lactobacillales, Neisseria, Fusobacterium, Actinobacillus, Porphyromonas, Alloprevotella, Lachnoanaerobaculum, Oribacterium, Neisseriaceae, Micrococcus, Enhydrobacter, Lactobacillus, Meiothermus, Aeribacillus, Bacillus, Comamonas, Exiguobacterium, Chryseobacterium, Aeromonas, Roseomonas, Atopobium, Bifidobacterium, Tepidimonas, Sphingomonas, Brachybacterium, Rothia, uncultured, Burkholderia-Caballeronia-Paraburkholderia, Lawsonella, Bradyrhizobium, Pseudomonas, Rubrobacter, Megasphaera, Rhodococcus, Ralstonia, KCM-B-112, Ezakiella, Aerococcus, Fenollaria, Finegoldia, Peptostreptococcus, Kingella, Caldanaerobacter, Streptobacillus, Agathobacter, Roseburia, Cloacibacterium, Sphingobacterium, Massilia, Cupriavidus, Beijerinckiaceae, Peptoniphilus, Intrasporangiaceae, Alcaligenaceae, Capnocytophaga, Lautropia, Cardiobacterium, Pantoea, Paracoccus, Leptotrichia, Anoxybacillus, Yersiniaceae, Serratia, Kocuria, Dialister, Xanthomonas, Lachnospiraceae, Solobacterium, Pasteurellaceae, TRA3-20, uncultured.1, Gordonia, Akkermansia, Enterobacterales, Candidatus_Udaeobacter, Micrococcaceae, Bacteroides, Aggregatibacter, Selenomonas, Microbacteriaceae, Tepidiphilus, Clostridium_sensu_stricto_1, Stomatobaculum, Absconditabacteriales_(SR1), Muribaculaceae, Pseudoxanthomonas, Anaerococcus, Faecalibacterium, Mycobacterium, Ignatzschineria, Tetragenococcus, Mitochondria, Vibrio, Leuconostoc, Paenibacillus, Clostridia_UCG-014, Flavobacterium
14HM99.M,1025,37,41,0,0,212,0,161,0,0,14,0,0,0,0,12,0,0,0,0,27,0,167,0,0,0,0,0,0,0,0,40,0,67,0,87,0,0,0,31,0,0,0,0,0,71,0,0,86,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM97.M,27,0,0,0,0,204,7,9,577,0,1504,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM96.M,4,0,0,0,0,62,120,57,7273,0,198,0,0,3,0,47,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,6,0,0,2,0,28,0,0,1479,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM95.M,0,0,0,0,0,306,4,59,161,0,973,0,0,26,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,11,0,0,0,0,0,0,3,22,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
14HM94.M,3517,958,408,7,115,92,6,0,29,12,42,0,0,3,47,0,15,0,132,0,8,0,494,0,4,0,0,0,0,0,25,0,0,0,275,194,263,118,70,130,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,954,7,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0
14HM93.M,573,30,133,0,0,349,7,0,169,0,342,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,783,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
14HM92.M,1783,896,581,0,64,37,53,17,1397,17,9478,5,0,2,0,34,0,0,110,0,0,0,895,0,0,0,89,0,0,0,7,0,0,0,1080,1086,466,237,208,289,69,0,0,6,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1106,27,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,277,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM91.M,298,174,33,0,33,105,23,22,14,0,85,0,0,5851,45,0,0,29,33,0,0,0,164,0,5,0,4,0,2,0,31,0,0,0,0,63,0,0,28,0,0,0,0,17,0,2,8,0,0,0,0,0,0,0,0,0,0,7,52,0,0,0,0,0,938,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM90.M,1386,71,58,0,86,96,0,6,67,32,46,0,2,0,0,3,0,0,259,0,0,0,1503,0,7,0,0,0,0,0,0,0,3,0,209,67,0,0,10,61,3,0,6,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,123,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14HM89.M,1771,0,178,0,108,54,0,39,37,15,517,0,0,0,0,18,0,0,162,0,0,0,615,0,0,0,0,0,0,0,14,0,13,0,233,98,0,0,0,0,0,0,45,0,0,0,10,12,0,0,0,0,0,0,21,40,0,0,0,151,0,0,0,18,802,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,22,0,0,0,0,53,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14HM88.M,1085,0,0,0,35,177,0,11,163,0,2548,0,0,0,0,1582,0,0,890,0,0,0,381,0,19,0,0,0,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,715,78,0,0,0,0,0,0,0,164,0,0,247,0,0,0,0,38,22,1060,16,58,0,0,0,0,0,0,159,0,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16,0,0
14HM87.M,579,127,0,0,7,74,17,82,0,0,1577,0,49,0,0,529,0,0,34,0,0,0,6,36,0,0,0,0,0,0,15,17,0,0,5,92,0,0,2,24,0,0,20,0,119,0,3,3,35,0,0,0,0,0,0,0,0,47,0,14,6,0,0,19,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,285,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,12,0,0,0,0,0,0,0,0,0
