"Metabolite","z6DDL","p","padj"
"1_3_5_triazinanes_Classy",0.00700651775949438,0.896977742176342,0.974846187374336
"1_benzopyrans_Classy",-0.0500122762659582,0.353668963760606,0.669681852071874
"1_hydroxy_2_unsubstituted_benzenoids_Classy",-0.0748093370149561,0.164387933423761,0.442020887650557
"3_alkylindoles_Classy",0.180408738548273,0.24124079350372,0.556002590741906
"5'_deoxy_5'_thionucleosides_Classy",-0.245774034611945,3.84609074566278e-06,0.000186150792090078
"5'_deoxyribonucleosides_Classy",-0.132248917769297,0.0138206038947943,0.095559604072578
"6_thiopurines_Classy",-0.190639873083025,0.141108242055783,0.410697678994817
"Acyl_carnitines_Classy",-0.0867011814011037,0.106902384306403,0.340399697396705
"Acyloins_Classy",0.0026187219073676,0.981023321511129,0.998943968100791
"Alcohols_and_polyols_Classy",-0.0370236871869075,0.491816806539506,0.75808705211822
"Aldehydes_Classy",-0.0340344270402821,0.5274609833589,0.782954562364082
"Alkaloids_and_derivatives_Classy",-0.0497725600393819,0.355284522560224,0.669681852071874
"Alkanolamines_Classy",-0.0270980682968972,0.614927660155762,0.845525532714173
"Alkyl_aryl_ethers_Classy",0.0725636582018831,0.177461543695672,0.456869080578219
"Alkyl_glycosides_Classy",0.134062630859114,0.0124336262135119,0.0911799255657536
"Alkyl_phosphates_Classy",-0.0941076995276578,0.0800159248833756,0.279147031149806
"Alloxazines_and_isoalloxazines_Classy",0.0221209816812772,0.687984007857816,0.882130605843655
"Allyl_type_1_3_dipolar_organic_compounds_Classy",0.197659048268804,0.000759289443155176,0.0141344650187348
"Alpha_hydroxy_acids_and_derivatives_Classy",0.357655198436445,8.09641242938142e-12,9.79665903955151e-10
"Alpha_keto_acids_and_derivatives_Classy",0.0217059255335506,0.711856724964383,0.887986223924643
"Amines_Classy",-0.112167908649497,0.0367516428894179,0.174390148612532
"Amino_acids__peptides__and_analogues_Classy",0.0783863949382501,0.144492391059307,0.411378336898261
"Amino_acids_and_derivatives_Classy",-0.0290143196130275,0.590135207998677,0.831231440169167
"Amino_fatty_acids_Classy",-0.0803238085284454,0.160344153038885,0.442020887650557
"Aminobenzoic_acids_and_derivatives_Classy",-0.050465279211133,0.372795814437425,0.669681852071874
"Aminosaccharides_Classy",0.0339413716706139,0.528591266456944,0.782954562364082
"Aminotriazines_Classy",0.0211725479299806,0.872432201707526,0.964057501430234
"Aminoxides_Classy",0.0940487798557142,0.174535748262083,0.454168291176603
"Anilides_Classy",-0.0478010929101286,0.383136306836751,0.676780921565648
"Aniline_and_substituted_anilines_Classy",-0.169104349200218,0.00180895537161185,0.0230403789436878
"Anisoles_Classy",-0.077585488876724,0.149241076424453,0.419957447612996
"Anthracenes_Classy",-0.000948443579766537,0.987951733675713,0.998943968100791
"Aralkylamines_Classy",-0.206697388632873,0.0207355637061648,0.125450160422297
"Aromatic_monoterpenoids_Classy",0.1296683059114,0.0818985091389928,0.279147031149806
"Aryl_chlorides_Classy",0.0606927799947039,0.259513612961726,0.581502725340163
"Aryl_halides_Classy",0.0373307124652263,0.488230120660839,0.75808705211822
"Aryl_phosphates_Classy",0.0417264123681026,0.43911741970804,0.72834059941558
"Aryl_thioethers_Classy",-0.0675480440470634,0.226749862728338,0.539100036508082
"Azacyclic_compounds_Classy",-0.00701551343820747,0.900361688170876,0.974846187374336
"Azoles_Classy",-0.0576355922485953,0.301000113885592,0.617305318307739
"Benzamides_Classy",-0.0272375531357077,0.620944786815232,0.848975358244554
"Benzene_and_substituted_derivatives_Classy",-0.0239637681450791,0.656429094043284,0.874945962811773
"Benzenesulfonic_acids_and_derivatives_Classy",0.0404189899009898,0.456243876756717,0.746020393075173
"Benzenoids_Classy",-0.036256842010938,0.500836283328804,0.762279123053903
"Benzodiazines_Classy",0.0185082534943153,0.731180249187596,0.898201118291362
"Benzodioxoles_Classy",-0.000679780795750338,0.989977105308537,0.998943968100791
"Benzofurans_Classy",0.110457017734254,0.0433497144492025,0.19793643201334
"Benzoic_acid_esters_Classy",0.0685325488771275,0.207486717487706,0.517647274556957
"Benzoic_acids_and_derivatives_Classy",0.0411145545815821,0.445863191479733,0.73400607032718
"Benzopyrans_Classy",-0.0500122762659582,0.353668963760606,0.669681852071874
"Beta_hydroxy_acids_and_derivatives_Classy",-0.0648234044594201,0.228421002161589,0.539100036508082
"Bile_acids__alcohols_and_derivatives_Classy",-0.0278355143543355,0.631655621322841,0.853970169609652
"Bilirubins_Classy",-0.37471014953288,8.27782287160517e-13,2.00323313492845e-10
"Biotin_and_derivatives_Classy",0.0471703960825637,0.486396325396846,0.75808705211822
"Bisphosphonates_Classy",-0.272022551092319,0.0740504232032837,0.271581994474396
"Branched_fatty_acids_Classy",-0.143069184369685,0.00760294747350843,0.070765895714963
"C_nitro_compounds_Classy",0.197659048268804,0.000759289443155176,0.0141344650187348
"Carbohydrates_and_carbohydrate_conjugates_Classy",0.0900233155398446,0.0940719044531257,0.307640552400763
"Carbonyl_compounds_Classy",-0.0561000379688885,0.297375510915113,0.617305318307739
"Carboxylic_acid_amides_Classy",-0.0473640343293896,0.379073663550006,0.674528136611041
"Carboxylic_acid_derivatives_Classy",0.0301568327628426,0.575574994462223,0.831231440169167
"Carboxylic_acid_esters_Classy",0.120719812005177,0.0245203092458064,0.134133720039939
"Carboxylic_acid_imides_Classy",-0.00946264860521471,0.862800235166048,0.964057501430234
"Carboxylic_acids_and_derivatives_Classy",0.0610249980993665,0.256220681636873,0.579489765945078
"Carboxylic_acids_Classy",0.0968571249186276,0.288550763453713,0.617305318307739
"Ceramides_Classy",0.0165151552645057,0.794181707155036,0.932970743356887
"Cholines_Classy",-0.0290565391788955,0.589594167113802,0.831231440169167
"Cinnamic_acids_and_derivatives_Classy",0.137688332591451,0.0105691306579172,0.0836456354469007
"Colensane_and_clerodane_diterpenoids_Classy",-0.0487348777844091,0.365416443700304,0.669681852071874
"Coumarins_and_derivatives_Classy",0.201049441088683,0.000194421311297877,0.00588124466676077
"Cyclic_depsipeptides_Classy",0.120369131121334,0.0249422206685836,0.134133720039939
"Cytochalasans_Classy",-0.100263714322313,0.0620874663256743,0.250419447513553
"Depsipeptides_Classy",-0.0200611867776362,0.709604306888019,0.887986223924643
"Diacylglycerols_Classy",-0.0170251117382456,0.751986374382132,0.90990351300238
"Dialkyl_ethers_Classy",0.127511130743369,0.0174821854153024,0.111333917644821
"Diazanaphthalenes_Classy",0.0185082534943153,0.731180249187596,0.898201118291362
"Diazines_Classy",-0.0749698163195393,0.164094584962395,0.442020887650557
"Dibenzylbutane_lignans_Classy",-0.0487348777844091,0.365416443700304,0.669681852071874
"Dicarboxylic_acids_and_derivatives_Classy",0.010882021300489,0.839929121341734,0.951018981070718
"Diphenylmethanes_Classy",0.0578567048482246,0.299899150918725,0.617305318307739
"Diradylglycerols_Classy",-0.0181067368066729,0.736794216575452,0.899274074892548
"Disaccharides_Classy",0.0682127452540325,0.204957064169187,0.516662599259825
"Diterpenoids_Classy",0.00171376972472269,0.974624508846842,0.998943968100791
"Dithiocarbamic_acid_esters_Classy",0.0156394550688521,0.782855283632362,0.92868126783839
