"Var1","Freq"
" Proteobacteria",200
" Firmicutes",164
" Actinobacteriota",88
" Bacteroidota",67
" Acidobacteriota",16
" Verrucomicrobiota",15
" Planctomycetota",13
" Chloroflexi",9
" Cyanobacteria",7
" Gemmatimonadota",6
" Myxococcota",6
" Fusobacteriota",5
" Patescibacteria",5
" Bdellovibrionota",3
" Deinococcota",3
" Dependentiae",3
" Desulfobacterota",3
" Campilobacterota",2
" Aquificota",1
" Armatimonadota",1
" Coprothermobacterota",1
" Dadabacteria",1
" Elusimicrobiota",1
" Entotheonellaeota",1
" Halanaerobiaeota",1
" Spirochaetota",1
" Synergistota",1
" WPS-2",1
