"Metabolite","z6DDL","p","padj"
"(5'_>5')_dinucleotides_Classy",0.0700173686495875,0.636292589744581,0.993358457441224
"1_alkyl_2_acylglycero_3_phosphocholines_Classy",0.0678500754325124,0.487428940423377,0.993358457441224
"1_benzopyrans_OR_Ethers_Classy",-0.0231507622811971,0.918549083511329,0.993358457441224
"1_hydroxy_2_unsubstituted_benzenoids_Classy",-0.0548759038499121,0.617909039486394,0.993358457441224
"1_hydroxy_2_unsubstituted_benzenoids_OR_Amino_acids__peptides__and_analogues_Classy",-0.0699280449280449,0.465823555127239,0.993358457441224
"1_hydroxy_2_unsubstituted_benzenoids_OR_Anilides_OR_Benzenediols_Classy",0.0678260869565217,0.75283518636882,0.993358457441224
"17_hydroxysteroids_Classy",0.0571552257266543,0.574167444654548,0.993358457441224
"3_hydroxysteroids_Classy",0.0131348242025285,0.922044694603425,0.993358457441224
"3_oxosteroids_Classy",-0.0274441726505168,0.770939873955055,0.993358457441224
"5'_deoxy_5'_thionucleosides_Classy",-0.0257604771023274,0.7912871740538,0.993358457441224
"5'_deoxyribonucleosides_Classy",-0.0257604771023274,0.7912871740538,0.993358457441224
"6_aminopurines_Classy",-0.305217391304348,0.146974017344543,0.853427351672921
"6_thiopurines_Classy",0.0911764705882353,0.737004950173659,0.993358457441224
"Acetals_Classy",-0.0114005844342923,0.915068997535556,0.993358457441224
"Acetanilides_OR_Catechols_Classy",0.0678260869565217,0.75283518636882,0.993358457441224
"Acyl_carnitines_Classy",-0.163347273731555,0.0811060770066541,0.853427351672921
"Acylaminobenzoic_acid_and_derivatives_Classy",0.571428571428571,0.0413422673717236,0.853427351672921
"Alcohols_and_polyols_Classy",-0.207476068235562,0.0683513340452668,0.853427351672921
"Alcohols_and_polyols_OR_Amino_acids__peptides__and_analogues_Classy",-0.0345432030353235,0.730340606675155,0.993358457441224
"Alkaloids_and_derivatives_Classy",-0.163047423656593,0.0816733159452734,0.853427351672921
"Alkanolamines_Classy",-0.0282756026496822,0.782257765864317,0.993358457441224
"Alkyl_aryl_ethers_Classy",-0.13312693498452,0.598460765120883,0.993358457441224
"Alkyl_glycosides_Classy",-0.145585102185749,0.120553521085697,0.853427351672921
"Alkyl_phosphates_Classy",-0.00860096267655646,0.927310533457947,0.993358457441224
"Alkyl_sulfates_Classy",-0.0340557275541796,0.893282818838896,0.993358457441224
"Alloxazines_and_isoalloxazines_Classy",0.134824142422927,0.360901917129368,0.993358457441224
"Amine_oxides_and_derivatives_Classy",-0.149122807017544,0.542322134864787,0.993358457441224
"Amines_Classy",0.145543206080042,0.142403691018701,0.853427351672921
"Amines_OR_Amino_acids__peptides__and_analogues_Classy",0.183107497741644,0.101793716167942,0.853427351672921
"Amines_OR_Amino_acids__peptides__and_analogues_OR_Fatty_acid_esters_Classy",0.0847865540913754,0.36762798809687,0.993358457441224
"Amino_acids__peptides__and_analogues_Classy",-0.0648938688550462,0.490802080796358,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Anilides_Classy",-0.0331402294705047,0.731070750076905,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Benzoic_acids_and_derivatives_Classy",-0.0702535559678417,0.489571263985223,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Depsipeptides_Classy",-0.0389989313037529,0.697155028552947,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Fatty_acids_and_conjugates_Classy",-0.0177612863327149,0.861478895850111,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Glycerophosphates_Classy",0.0943842090631081,0.328954984947489,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Glycerophosphocholines_Classy",0.034056655882585,0.717851233758112,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Glycerophosphoethanolamines_Classy",-0.0334332833583208,0.722803486132851,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Phosphosphingolipids_Classy",-0.0237828454193956,0.800815276467079,0.993358457441224
"Amino_acids__peptides__and_analogues_OR_Pyrazoles_Classy",0.227700348432056,0.152203604120011,0.853427351672921
"Amino_acids__peptides__and_analogues_OR_Quaternary_ammonium_salts_Classy",-0.105815513295984,0.260372217281126,0.993358457441224
"Amino_acids_and_derivatives_Classy",-0.189789315868382,0.0422009312522356,0.853427351672921
"Amino_acids_and_derivatives_OR_Benzoic_acid_esters_Classy",-0.0702535559678417,0.489571263985223,0.993358457441224
"Amino_acids_and_derivatives_OR_Cholines_Classy",-0.105815513295984,0.260372217281126,0.993358457441224
"Amino_acids_and_derivatives_OR_Lysophosphatidylcholines_Classy",0.034056655882585,0.717851233758112,0.993358457441224
"Amino_acids_and_derivatives_OR_Monoacylglycerophosphates_Classy",0.0943842090631081,0.328954984947489,0.993358457441224
"Amino_acids_and_derivatives_OR_Peptides_Classy",-0.0217945128779395,0.833949153876357,0.993358457441224
"Amino_acids_and_derivatives_OR_Phenylpyrazoles_Classy",0.227700348432056,0.152203604120011,0.853427351672921
"Amino_acids_and_derivatives_OR_Secondary_alcohols_Classy",-0.0345432030353235,0.730340606675155,0.993358457441224
"Amino_acids_and_derivatives_OR_Tertiary_amines_Classy",0.16109050737789,0.085453700290854,0.853427351672921
"Amino_fatty_acids_Classy",-0.0341993377613198,0.726557903572583,0.993358457441224
"Aminosaccharides_Classy",-0.014519056261343,0.877604428878078,0.993358457441224
"Anilides_Classy",-0.1,0.374411279830449,0.993358457441224
"Aniline_and_substituted_anilines_Classy",-0.034965034965035,0.91409334241076,0.993358457441224
"Anisoles_Classy",-0.0484979040521658,0.609975791844619,0.993358457441224
"Anisoles_OR_Glycerophosphates_OR_Oxosteroids_Classy",-0.0274441726505168,0.770939873955055,0.993358457441224
"Aromatic_monoterpenoids_Classy",0.296428571428571,0.283355428434263,0.993358457441224
"Aryl_chlorides_Classy",-0.00137299771167048,0.98843263385837,0.998282335677869
"Aryl_halides_Classy",-0.0241458218259291,0.797839842287599,0.993358457441224
"Arylsulfates_Classy",0.118226600985222,0.541323578813526,0.993358457441224
"Azacyclic_compounds_Classy",-0.129105786090006,0.329784159413998,0.993358457441224
"Azoles_Classy",0.137884872824632,0.216703007938871,0.993358457441224
"Azoles_OR_Carboxylic_acids_and_derivatives_Classy",0.227700348432056,0.152203604120011,0.853427351672921
"Azoles_OR_Diazines_Classy",0.284786324786325,0.15850693426665,0.864084775673184
"Benzamides_Classy",-0.0143793706293706,0.909486227618159,0.993358457441224
"Benzene_and_substituted_derivatives_Classy",-0.020176753728399,0.830523936153606,0.993358457441224
"Benzene_and_substituted_derivatives_OR_Carboxylic_acids_and_derivatives_Classy",-0.0271983409598088,0.777903530703921,0.993358457441224
"Benzene_and_substituted_derivatives_OR_Diazinanes_Classy",-0.0409610983981693,0.663821767891422,0.993358457441224
"Benzene_and_substituted_derivatives_OR_Fatty_Acyls_Classy",-0.0259891203902179,0.789477491559041,0.993358457441224
"Benzene_and_substituted_derivatives_OR_Heteroaromatic_compounds_Classy",0.0908730248179789,0.345091939003117,0.993358457441224
"Benzene_and_substituted_derivatives_OR_Organooxygen_compounds_Classy",0.0135405981219916,0.885794995768628,0.993358457441224
"Benzene_and_substituted_derivatives_OR_Phenols_Classy",0.0678260869565217,0.75283518636882,0.993358457441224
"Benzenediols_Classy",0.000279908770474808,0.997738896140105,0.998282335677869
"Benzenesulfonamides_Classy",0.111888111888112,0.729194990751066,0.993358457441224
"Benzenesulfonyl_compounds_Classy",0.126315789473684,0.595653512814898,0.993358457441224
"Benzenoids_Classy",-0.0201136273968279,0.831046266427057,0.993358457441224
"Benzenoids_OR_Lignans__neolignans_and_related_compounds_OR_Lipids_and_lipid_like_molecules_Classy",-0.0274441726505168,0.770939873955055,0.993358457441224
"Benzenoids_OR_Lipids_and_lipid_like_molecules_Classy",-0.0259891203902179,0.789477491559041,0.993358457441224
"Benzenoids_OR_Organic_acids_and_derivatives_Classy",-0.0475893632131303,0.613523529996348,0.993358457441224
"Benzenoids_OR_Organic_oxygen_compounds_Classy",0.10165706620374,0.279677186403667,0.993358457441224
"Benzenoids_OR_Organoheterocyclic_compounds_Classy",0.0620058391856703,0.510339967482847,0.993358457441224
"Benzodioxoles_Classy",0.0217377559149711,0.850166980517886,0.993358457441224
"Benzoic_acid_esters_Classy",0.0382229937662748,0.685061236399605,0.993358457441224
"Benzoic_acids_and_derivatives_Classy",0.141521344590862,0.131382570356447,0.853427351672921
"Benzopyrans_OR_Organooxygen_compounds_Classy",-0.0231507622811971,0.918549083511329,0.993358457441224
"Benzopyrenes_Classy",0.294117647058824,0.268846554622893,0.993358457441224
"Benzoyl_derivatives_Classy",-0.189946781366188,0.0780421312561166,0.853427351672921
"Beta_hydroxy_acids_and_derivatives_Classy",0.177740077329756,0.057382160366664,0.853427351672921
"Bile_acids__alcohols_and_derivatives_Classy",0.115461624026696,0.543469451015461,0.993358457441224
"Biphenyls_and_derivatives_Classy",-0.212894890645667,0.108599865723515,0.853427351672921
"Branched_fatty_acids_Classy",-0.111050809015613,0.239485677910258,0.993358457441224
"Branched_fatty_acids_OR_Monosaccharides_Classy",-0.175666438824334,0.12904619930752,0.853427351672921
"Butyrophenones_Classy",0.0202741290691034,0.838924254703864,0.993358457441224
"Carbohydrates_and_carbohydrate_conjugates_Classy",-0.00481338278229306,0.959282345712144,0.998282335677869
"Carbohydrates_and_carbohydrate_conjugates_OR_Dicarboxylic_acids_and_derivatives_OR_Fatty_acid_esters_OR_Fatty_acids_and_conjugates_Classy",-0.175666438824334,0.12904619930752,0.853427351672921
"Carbohydrates_and_carbohydrate_conjugates_OR_Terpene_glycosides_Classy",0.168807701412452,0.0713174570936823,0.853427351672921
"Carbonyl_compounds_Classy",-0.124747741922843,0.200456626164268,0.993358457441224
"Carbonyl_compounds_OR_Fatty_acids_and_conjugates_Classy",-0.0507042253521127,0.67453793816702,0.993358457441224
"Carboxylic_acid_amides_Classy",0.00526315789473684,0.982939261335434,0.998282335677869
"Carboxylic_acid_derivatives_Classy",-0.016981698169817,0.866823987117893,0.993358457441224
"Carboxylic_acid_derivatives_OR_Lineolic_acids_and_derivatives_Classy",-0.0634064392830171,0.548198019613945,0.993358457441224
"Carboxylic_acid_esters_Classy",-0.106859460412626,0.27328885852907,0.993358457441224
"Carboxylic_acids_and_derivatives_Classy",-0.0635839974749467,0.499614062593187,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Fatty_Acyls_Classy",-0.006002106002106,0.95014807268102,0.998282335677869
"Carboxylic_acids_and_derivatives_OR_Fatty_Acyls_OR_Glycerolipids_Classy",-0.0100583495415393,0.939200644904001,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Fatty_Acyls_OR_Organonitrogen_compounds_Classy",0.0847865540913754,0.36762798809687,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Fatty_Acyls_OR_Organooxygen_compounds_Classy",-0.175666438824334,0.12904619930752,0.853427351672921
"Carboxylic_acids_and_derivatives_OR_Glycerophospholipids_Classy",0.0447881322496646,0.63457964566468,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Organonitrogen_compounds_Classy",0.0784975933086089,0.404345981518664,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Organooxygen_compounds_Classy",-0.0345432030353235,0.730340606675155,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Peptidomimetics_Classy",-0.0389989313037529,0.697155028552947,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Phenols_Classy",-0.0699280449280449,0.465823555127239,0.993358457441224
"Carboxylic_acids_and_derivatives_OR_Sphingolipids_Classy",-0.0237828454193956,0.800815276467079,0.993358457441224
"Carboxylic_acids_Classy",-0.153984865064809,0.142775560506864,0.853427351672921
"Ceramides_Classy",0.000346285630968871,0.997460162286388,0.998282335677869
"Cholines_Classy",0.189633375474083,0.0442505381881269,0.853427351672921
"Cinnamic_acids_and_derivatives_Classy",0.0214285714285714,0.939577904012878,0.993358457441224
